Linux 3.10.0-229.el7.x86_64 (rhel7-23.in.ibm.com) 	11/10/2015 	_x86_64_	(24 CPU)

08:44:36 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:37 PM      usb0      0.99      0.99      0.08      0.09      0.00      0.00      0.00
08:44:37 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:37 PM    br-int      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:37 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:37 PM      eth0     37.62     31.68      6.79      7.99      0.00      0.00      0.00
08:44:37 PM      eth1      8.91      0.00      0.53      0.00      0.00      0.00      5.94
08:44:37 PM      eth2      4.95      0.00      0.29      0.00      0.00      0.00      0.00
08:44:37 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:37 PM      eth4      7.92      2.97      0.47      0.30      0.00      0.00      0.00
08:44:37 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:37 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:37 PM     br-ex      8.91      0.00      0.53      0.00      0.00      0.00      0.00

08:44:37 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:38 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
08:44:38 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:38 PM    br-int      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:38 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:38 PM      eth0     17.00     13.00      1.83      1.53      0.00      0.00      0.00
08:44:38 PM      eth1     30.00     19.00      4.42      4.34      0.00      0.00      0.00
08:44:38 PM      eth2      5.00      0.00      0.29      0.00      0.00      0.00      0.00
08:44:38 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:38 PM      eth4      7.00      2.00      0.41      0.25      0.00      0.00      0.00
08:44:38 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:38 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:38 PM     br-ex     29.00     19.00      4.35      4.34      0.00      0.00      0.00

08:44:38 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:39 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
08:44:39 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:39 PM    br-int      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:39 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:39 PM      eth0     74.00     94.00     19.56     13.33      0.00      0.00      0.00
08:44:39 PM      eth1      8.00      0.00      0.47      0.00      0.00      0.00      6.00
08:44:39 PM      eth2      5.00      0.00      0.29      0.00      0.00      0.00      0.00
08:44:39 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:39 PM      eth4      5.00      0.00      0.29      0.00      0.00      0.00      0.00
08:44:39 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:39 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:39 PM     br-ex      8.00      0.00      0.47      0.00      0.00      0.00      0.00

08:44:39 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:40 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
08:44:40 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:40 PM    br-int      1.00      0.00      0.09      0.00      0.00      0.00      0.00
08:44:40 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:40 PM      eth0     82.00     76.00     32.93     10.89      0.00      0.00      0.00
08:44:40 PM      eth1      8.00      0.00      0.99      0.00      0.00      0.00      0.00
08:44:40 PM      eth2      3.00      0.00      0.18      0.00      0.00      0.00      0.00
08:44:40 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:40 PM      eth4      3.00      0.00      0.18      0.00      0.00      0.00      0.00
08:44:40 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:40 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:40 PM     br-ex      8.00      0.00      0.99      0.00      0.00      0.00      0.00

08:44:40 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:41 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
08:44:41 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:41 PM    br-int      2.00      0.00      0.16      0.00      0.00      0.00      0.00
08:44:41 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:41 PM      eth0     60.00     70.00     16.11     12.69      0.00      0.00      0.00
08:44:41 PM      eth1      8.00      0.00      0.54      0.00      0.00      0.00      6.00
08:44:41 PM      eth2      4.00      0.00      0.23      0.00      0.00      0.00      0.00
08:44:41 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:41 PM      eth4      4.00      0.00      0.23      0.00      0.00      0.00      0.00
08:44:41 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:41 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:41 PM     br-ex      8.00      0.00      0.54      0.00      0.00      0.00      0.00

08:44:41 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:42 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
08:44:42 PM tap99cd47fe-bc      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:42 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:42 PM    br-int 125659.00      0.00 3426807.55      0.00      0.00      0.00      0.00
08:44:42 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:42 PM      eth0 746327120.00 3123135585.00 945339304.37 4246114963.93      0.00      0.00    704.00
08:44:42 PM      eth1 4347112822.00 1401266126.00 5573715332.67 1774825371.04      0.00      0.00 344464.00
08:44:42 PM      eth2 449312.00      0.00  26528.65      0.00      0.00      0.00     24.00
08:44:42 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:42 PM      eth4 521564.00  80042.00  31814.49  14159.44      0.00      0.00    776.00
08:44:42 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:42 PM        lo 901603.00 901603.00  46937.92  46937.92      0.00      0.00      0.00
08:44:42 PM     br-ex 1001005.00 235174.00 11317360.92  17420.88      0.00      0.00      0.00

08:44:42 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:43 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
08:44:43 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:43 PM    br-int      2.00      0.00      0.16      0.00      0.00      0.00      0.00
08:44:43 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:43 PM      eth0     70.00     79.00     23.70     13.85      0.00      0.00      0.00
08:44:43 PM      eth1      7.00      0.00      0.41      0.00      0.00      0.00      8.00
08:44:43 PM      eth2      4.00      0.00      0.23      0.00      0.00      0.00      0.00
08:44:43 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:43 PM      eth4      8.00      4.00      0.52      0.79      0.00      0.00      0.00
08:44:43 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:43 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:43 PM     br-ex      7.00      0.00      0.41      0.00      0.00      0.00      0.00

08:44:43 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:44 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
08:44:44 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:44 PM    br-int      5.00      0.00      0.44      0.00      0.00      0.00      0.00
08:44:44 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:44 PM      eth0     85.00     87.00     32.97     15.82      0.00      0.00      0.00
08:44:44 PM      eth1      9.00      0.00      0.53      0.00      0.00      0.00      0.00
08:44:44 PM      eth2      4.00      0.00      0.23      0.00      0.00      0.00      0.00
08:44:44 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:44 PM      eth4     11.00      5.00      0.72      0.44      0.00      0.00      0.00
08:44:44 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:44 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:44 PM     br-ex      9.00      0.00      0.53      0.00      0.00      0.00      0.00

08:44:44 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:45 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
08:44:45 PM qr-c78347cc-71      2.00      0.00      0.12      0.00      0.00      0.00      0.00
08:44:45 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:45 PM    br-int 125674.00      0.00 3426808.82      0.00      0.00      0.00      0.00
08:44:45 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:45 PM      eth0 746327358.00 3123135821.00 945339401.69 4246115007.51      0.00      0.00    704.00
08:44:45 PM      eth1 4347112845.00 1401266127.00 5573715334.04 1774825371.15      0.00      0.00 344479.00
08:44:45 PM      eth2 449324.00      0.00  26529.35      0.00      0.00      0.00     24.00
08:44:45 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:45 PM      eth4 521587.00  80051.00  31815.96  14160.66      0.00      0.00    776.00
08:44:45 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:45 PM        lo 901603.00 901603.00  46937.92  46937.92      0.00      0.00      0.00
08:44:45 PM     br-ex 1001029.00 235174.00 11317362.39  17420.88      0.00      0.00      0.00
08:44:45 PM tap4f4690e8-63      2.00      0.00      0.12      0.00      0.00      0.00      0.00

08:44:45 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:46 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
08:44:46 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:46 PM    br-int     22.00      0.00      1.93      0.00      0.00      0.00      0.00
08:44:46 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:46 PM      eth0     31.00     37.00      5.39      8.22      0.00      0.00      0.00
08:44:46 PM      eth1     11.00      4.00      1.62      0.33      0.00      0.00      0.00
08:44:46 PM      eth2      6.00      0.00      0.53      0.00      0.00      0.00      0.00
08:44:46 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:46 PM      eth4      7.00      1.00      0.61      0.08      0.00      0.00      0.00
08:44:46 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:46 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:46 PM     br-ex     15.00      0.00      1.96      0.00      0.00      0.00      0.00

08:44:46 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:47 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
08:44:47 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:47 PM    br-int     29.00      0.00      2.39      0.00      0.00      0.00      0.00
08:44:47 PM qg-2b389f65-3c      7.00      0.00      0.56      0.00      0.00      0.00      0.00
08:44:47 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:47 PM      eth0 746327425.00 3123135899.00 945339412.50 4246115025.75      0.00      0.00    704.00
08:44:47 PM      eth1 4347112867.00 1401266150.00 5573715336.48 1774825373.09      0.00      0.00 344486.00
08:44:47 PM      eth2 449337.00      0.00  26530.29      0.00      0.00      0.00     24.00
08:44:47 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:47 PM      eth4 521608.00  80056.00  31817.55  14161.10      0.00      0.00    777.00
08:44:47 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:47 PM        lo 901603.00 901603.00  46937.92  46937.92      0.00      0.00      0.00
08:44:47 PM     br-ex 1001074.00 235174.00 11317366.79  17420.88      0.00      0.00      0.00
08:44:47 PM qg-75a26768-77      6.00      0.00      0.50      0.00      0.00      0.00      0.00

08:44:47 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:48 PM      usb0      2.00      2.00      0.11      0.14      0.00      0.00      0.00
08:44:48 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:48 PM tap72c2af68-d7      2.00      0.00      0.13      0.00      0.00      0.00      0.00
08:44:48 PM    br-int 125747.00      0.00 3426815.05      0.00      0.00      0.00      0.00
08:44:48 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:48 PM      eth0     80.00     71.00     24.01     15.90      0.00      0.00      1.00
08:44:48 PM      eth1     10.00     28.00      1.24      2.39      0.00      0.00      0.00
08:44:48 PM      eth2     10.00      0.00      0.59      0.00      0.00      0.00      0.00
08:44:48 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:48 PM      eth4     15.00      4.00      0.98      0.43      0.00      0.00      0.00
08:44:48 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:48 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:48 PM     br-ex     37.00      0.00      3.20      0.00      0.00      0.00      0.00

08:44:48 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:49 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
08:44:49 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:49 PM    br-int      9.00      0.00      0.66      0.00      0.00      0.00      0.00
08:44:49 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:49 PM      eth0     86.00     84.00     24.30     18.91      0.00      0.00      0.00
08:44:49 PM      eth1      8.00     23.00      0.47      1.88      0.00      0.00      7.00
08:44:49 PM      eth2     12.00      0.00      0.70      0.00      0.00      0.00      0.00
08:44:49 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:49 PM      eth4     18.00      6.00      1.14      0.88      0.00      0.00      0.00
08:44:49 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:49 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:49 PM     br-ex     31.00      0.00      2.35      0.00      0.00      0.00      0.00

08:44:49 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:50 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
08:44:50 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
