Linux 3.10.0-229.el7.x86_64 (rhel7-25.in.ibm.com) 	11/09/2015 	_x86_64_	(24 CPU)

03:51:47 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:51:48 PM     all      0.29      0.00      0.38      0.04      0.00     99.29
03:51:48 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
03:51:48 PM       1      1.00      0.00      1.00      0.00      0.00     98.00
03:51:48 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
03:51:48 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:51:48 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
03:51:48 PM       5      0.00      0.00      1.00      0.00      0.00     99.00
03:51:48 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:51:48 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
03:51:48 PM       8      0.00      0.00      0.00      1.00      0.00     99.00
03:51:48 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
03:51:48 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
03:51:48 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
03:51:48 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
03:51:48 PM      13      1.00      0.00      4.00      0.00      0.00     95.00
03:51:48 PM      14      1.00      0.00      0.00      0.00      0.00     99.00
03:51:48 PM      15      0.00      0.00      1.00      0.00      0.00     99.00
03:51:48 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
03:51:48 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
03:51:48 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
03:51:48 PM      19      0.99      0.00      0.99      0.00      0.00     98.02
03:51:48 PM      20      3.00      0.00      1.00      0.00      0.00     96.00
03:51:48 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
03:51:48 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
03:51:48 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

03:51:48 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:51:49 PM     all      0.12      0.00      0.04      0.00      0.00     99.83
03:51:49 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
03:51:49 PM       1      1.98      0.00      0.99      0.00      0.00     97.03
03:51:49 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
03:51:49 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:51:49 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
03:51:49 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:51:49 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:51:49 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
03:51:49 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
03:51:49 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
03:51:49 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
03:51:49 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
03:51:49 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
03:51:49 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
03:51:49 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
