Linux 3.10.0-229.el7.x86_64 (rhel7-23.in.ibm.com) 	11/10/2015 	_x86_64_	(24 CPU)

09:17:34 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:17:35 PM     all      0.17      0.00      0.17      0.00      0.00     99.67
09:17:35 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
09:17:35 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
09:17:35 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
09:17:35 PM       3      0.99      0.00      0.00      0.00      0.00     99.01
09:17:35 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
09:17:35 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
09:17:35 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
09:17:35 PM       7      1.98      0.00      0.99      0.00      0.00     97.03
09:17:35 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
09:17:35 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
09:17:35 PM      10      1.01      0.00      2.02      0.00      0.00     96.97
09:17:35 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
09:17:35 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
09:17:35 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
09:17:35 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
09:17:35 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
09:17:35 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
09:17:35 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
09:17:35 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
09:17:35 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
09:17:35 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
09:17:35 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
09:17:35 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
09:17:35 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

09:17:35 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:17:36 PM     all      1.29      0.00      0.38      0.00      0.00     98.33
09:17:36 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
09:17:36 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
09:17:36 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
09:17:36 PM       3     16.16      0.00      2.02      0.00      0.00     81.82
09:17:36 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
09:17:36 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
09:17:36 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
09:17:36 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
09:17:36 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
09:17:36 PM       9      0.99      0.00      0.99      0.00      0.00     98.02
09:17:36 PM      10      1.98      0.00      0.99      0.00      0.00     97.03
09:17:36 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
09:17:36 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
09:17:36 PM      13      8.00      0.00      3.00      0.00      0.00     89.00
09:17:36 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
09:17:36 PM      15      3.96      0.00      0.99      0.00      0.00     95.05
09:17:36 PM      16      1.00      0.00      0.00      0.00      0.00     99.00
09:17:36 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
09:17:36 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
09:17:36 PM      19      0.00      0.00      0.99      0.00      0.00     99.01
09:17:36 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
09:17:36 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
09:17:36 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
09:17:36 PM      23      0.00      0.00      1.00      0.00      0.00     99.00

09:17:36 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:17:37 PM     all      0.21      0.00      0.04      0.00      0.00     99.75
09:17:37 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
09:17:37 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
09:17:37 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
09:17:37 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
09:17:37 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
09:17:37 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
09:17:37 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
09:17:37 PM       7      1.00      0.00      0.00      0.00      0.00     99.00
09:17:37 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
09:17:37 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
09:17:37 PM      10      1.01      0.00      1.01      0.00      0.00     97.98
09:17:37 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
09:17:37 PM      12      1.00      0.00      0.00      0.00      0.00     99.00
09:17:37 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
09:17:37 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
09:17:37 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
09:17:37 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
09:17:37 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
09:17:37 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
09:17:37 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
09:17:37 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
09:17:37 PM      21      0.99      0.00      0.00      0.00      0.00     99.01
09:17:37 PM      22      1.00      0.00      0.00      0.00      0.00     99.00
09:17:37 PM      23      0.99      0.00      0.00      0.00      0.00     99.01

09:17:37 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:17:38 PM     all      1.00      0.00      0.75      0.08      0.00     98.17
09:17:38 PM       0      1.01      0.00      0.00      0.00      0.00     98.99
09:17:38 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
09:17:38 PM       2      0.99      0.00      0.99      0.00      0.00     98.02
09:17:38 PM       3      0.00      0.00      1.00      0.00      0.00     99.00
09:17:38 PM       4      1.01      0.00      0.00      0.00      0.00     98.99
09:17:38 PM       5      0.99      0.00      0.99      0.00      0.00     98.02
09:17:38 PM       6      1.00      0.00      0.00      0.00      0.00     99.00
09:17:38 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
09:17:38 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
09:17:38 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
09:17:38 PM      10      1.98      0.00      1.98      0.00      0.00     96.04
09:17:38 PM      11      0.99      0.00      0.99      0.00      0.00     98.02
09:17:38 PM      12      0.00      0.00      0.99      0.00      0.00     99.01
09:17:38 PM      13     13.86      0.00      6.93      0.00      0.00     79.21
09:17:38 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
09:17:38 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
09:17:38 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
09:17:38 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
09:17:38 PM      18      1.98      0.00      0.99      0.00      0.00     97.03
09:17:38 PM      19      0.99      0.00      2.97      0.00      0.00     96.04
09:17:38 PM      20      0.99      0.00      0.99      0.00      0.00     98.02
09:17:38 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
09:17:38 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
09:17:38 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

09:17:38 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:17:39 PM     all      2.42      0.00      1.25      0.04      0.00     96.28
09:17:39 PM       0      0.00      0.00      0.00      1.01      0.00     98.99
09:17:39 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
09:17:39 PM       2      3.03      0.00      0.00      0.00      0.00     96.97
09:17:39 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
09:17:39 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
09:17:39 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
09:17:39 PM       6      0.00      0.00      1.00      0.00      0.00     99.00
09:17:39 PM       7      1.01      0.00      0.00      0.00      0.00     98.99
09:17:39 PM       8      3.00      0.00      2.00      0.00      0.00     95.00
09:17:39 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
09:17:39 PM      10      1.01      0.00      2.02      0.00      0.00     96.97
09:17:39 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
09:17:39 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
09:17:39 PM      13     28.28      0.00     12.12      0.00      0.00     59.60
09:17:39 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
09:17:39 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
09:17:39 PM      16      3.00      0.00      1.00      0.00      0.00     96.00
09:17:39 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
09:17:39 PM      18      4.95      0.00      2.97      0.00      0.00     92.08
09:17:39 PM      19     11.11      0.00      6.06      0.00      0.00     82.83
09:17:39 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
09:17:39 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
09:17:39 PM      22      0.98      0.00      0.98      0.00      0.00     98.04
09:17:39 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

09:17:39 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:17:40 PM     all      4.59      0.00      1.71      0.08      0.00     93.62
09:17:40 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
09:17:40 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
09:17:40 PM       2      1.01      0.00      1.01      0.00      0.00     97.98
09:17:40 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
09:17:40 PM       4      0.00      0.00      0.00      1.00      0.00     99.00
09:17:40 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
09:17:40 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
09:17:40 PM       7      1.98      0.00      0.99      0.00      0.00     97.03
09:17:40 PM       8     11.00      0.00      1.00      0.00      0.00     88.00
09:17:40 PM       9      1.00      0.00      1.00      0.00      0.00     98.00
09:17:40 PM      10      2.00      0.00      2.00      0.00      0.00     96.00
09:17:40 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
09:17:40 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
09:17:40 PM      13     50.00      0.00     13.00      0.00      0.00     37.00
09:17:40 PM      14      7.00      0.00      4.00      0.00      0.00     89.00
09:17:40 PM      15      0.00      0.00      1.00      0.00      0.00     99.00
09:17:40 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
09:17:40 PM      17      4.00      0.00      0.00      0.00      0.00     96.00
09:17:40 PM      18      4.04      0.00      1.01      0.00      0.00     94.95
09:17:40 PM      19     20.00      0.00      9.00      0.00      0.00     71.00
09:17:40 PM      20      2.00      0.00      2.00      0.00      0.00     96.00
09:17:40 PM      21      6.93      0.00      2.97      0.00      0.00     90.10
09:17:40 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
09:17:40 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

09:17:40 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:17:41 PM     all      5.30      0.00      2.13      0.08      0.00     92.48
09:17:41 PM       0      2.97      0.00      2.97      0.99      0.00     93.07
09:17:41 PM       1      1.00      0.00      1.00      1.00      0.00     97.00
09:17:41 PM       2      1.00      0.00      1.00      0.00      0.00     98.00
09:17:41 PM       3      3.96      0.00      1.98      0.00      0.00     94.06
09:17:41 PM       4      1.00      0.00      1.00      0.00      0.00     98.00
09:17:41 PM       5      0.00      0.00      0.00      1.01      0.00     98.99
09:17:41 PM       6      1.00      0.00      0.00      0.00      0.00     99.00
09:17:41 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
09:17:41 PM       8     15.00      0.00      2.00      0.00      0.00     83.00
09:17:41 PM       9      3.00      0.00      1.00      0.00      0.00     96.00
09:17:41 PM      10      2.00      0.00      2.00      0.00      0.00     96.00
09:17:41 PM      11      1.00      0.00      0.00      0.00      0.00     99.00
09:17:41 PM      12     16.83      0.00      0.99      0.00      0.00     82.18
