09:57:16 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:57:17 PM     all      2.36      0.00      2.19      0.42      0.00     95.02
09:57:17 PM       0      0.99      0.00      1.98      0.00      0.00     97.03
09:57:17 PM       1      2.00      0.00      2.00      0.00      0.00     96.00
09:57:17 PM       2      3.06      0.00      2.04      0.00      0.00     94.90
09:57:17 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
09:57:17 PM       4      2.08      0.00      1.04      0.00      0.00     96.88
09:57:17 PM       5      2.00      0.00      2.00      0.00      0.00     96.00
09:57:17 PM       6      5.05      0.00      2.02      2.02      0.00     90.91
09:57:17 PM       7      1.00      0.00      1.00      3.00      0.00     95.00
09:57:17 PM       8      6.00      0.00      2.00      0.00      0.00     92.00
09:57:17 PM       9      2.00      0.00      2.00      1.00      0.00     95.00
09:57:17 PM      10     21.78      0.00      0.99      0.00      0.00     77.23
09:57:17 PM      11     11.11      0.00      2.02      0.00      0.00     86.87
09:57:17 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
09:57:17 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
09:57:17 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
09:57:17 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
09:57:17 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
09:57:17 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
09:57:17 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
09:57:17 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
09:57:17 PM      20      0.00      0.00      0.00      1.00      0.00     99.00
09:57:17 PM      21      0.00      0.00      0.00      2.00      0.00     98.00
09:57:17 PM      22      0.00      0.00     35.42      0.00      0.00     64.58
09:57:17 PM      23      0.00      0.00      0.00      1.00      0.00     99.00

09:57:17 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:57:18 PM     all      3.45      0.00      3.89      0.13      0.00     92.53
09:57:18 PM       0      1.02      0.00      2.04      0.00      0.00     96.94
09:57:18 PM       1      1.01      0.00      2.02      0.00      0.00     96.97
09:57:18 PM       2      1.00      0.00      2.00      0.00      0.00     97.00
09:57:18 PM       3      0.99      0.00      1.98      0.00      0.00     97.03
09:57:18 PM       4      1.10      0.00      1.10      0.00      0.00     97.80
09:57:18 PM       5      2.00      0.00      2.00      0.00      0.00     96.00
09:57:18 PM       6      6.12      0.00      1.02      0.00      0.00     92.86
09:57:18 PM       7      4.08      0.00      2.04      0.00      0.00     93.88
09:57:18 PM       8      5.10      0.00      5.10      0.00      0.00     89.80
09:57:18 PM       9      4.12      0.00      2.06      0.00      0.00     93.81
09:57:18 PM      10     24.49      0.00      2.04      0.00      0.00     73.47
09:57:18 PM      11     15.15      0.00      2.02      0.00      0.00     82.83
09:57:18 PM      12      0.00      0.00      1.27      0.00      0.00     98.73
09:57:18 PM      13      0.00      0.00      2.90      0.00      0.00     97.10
09:57:18 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
09:57:18 PM      15      3.03      0.00      1.01      0.00      0.00     95.96
09:57:18 PM      16      1.00      0.00      0.00      0.00      0.00     99.00
09:57:18 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
09:57:18 PM      18      5.94      0.00      0.99      1.98      0.00     91.09
09:57:18 PM      19      1.27      0.00     36.71      0.00      0.00     60.76
09:57:18 PM      20      0.00      0.00      1.00      0.00      0.00     99.00
09:57:18 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
09:57:18 PM      22      0.00      0.00     36.05      0.00      0.00     63.95
09:57:18 PM      23      1.00      0.00      0.00      1.00      0.00     98.00

09:57:18 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:57:19 PM     all      5.20      0.00      4.01      1.19      0.00     89.60
09:57:19 PM       0      6.06      0.00      2.02      5.05      0.00     86.87
09:57:19 PM       1      2.02      0.00      2.02      0.00      0.00     95.96
09:57:19 PM       2      2.02      0.00      2.02      1.01      0.00     94.95
09:57:19 PM       3      5.05      0.00      0.00      0.00      0.00     94.95
09:57:19 PM       4      1.08      0.00      2.15      0.00      0.00     96.77
09:57:19 PM       5      2.30      0.00      0.00      0.00      0.00     97.70
09:57:19 PM       6      7.07      0.00      3.03      3.03      0.00     86.87
09:57:19 PM       7     34.65      0.00      1.98      1.98      0.00     61.39
09:57:19 PM       8      8.08      0.00      4.04      2.02      0.00     85.86
09:57:19 PM       9      8.82      0.00      3.92      0.98      0.00     86.27
09:57:19 PM      10      8.16      0.00      3.06      0.00      0.00     88.78
09:57:19 PM      11     19.00      0.00      2.00      1.00      0.00     78.00
09:57:19 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
09:57:19 PM      13      0.00      0.00      1.30      1.30      0.00     97.40
09:57:19 PM      14      0.00      0.00      1.19      0.00      0.00     98.81
09:57:19 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
09:57:19 PM      16      1.98      0.00      1.98      0.00      0.00     96.04
09:57:19 PM      17      0.00      0.00      0.00      5.15      0.00     94.85
09:57:19 PM      18     13.68      0.00      3.16      0.00      0.00     83.16
09:57:19 PM      19      0.00      0.00     23.08      0.00      0.00     76.92
09:57:19 PM      20      1.02      0.00      1.02      0.00      0.00     97.96
09:57:19 PM      21      0.00      0.00     16.49      0.00      0.00     83.51
09:57:19 PM      22      0.00      0.00     23.86      0.00      0.00     76.14
09:57:19 PM      23      0.00      0.00      0.00      6.06      0.00     93.94

09:57:19 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:57:20 PM     all      6.66      0.00      7.42      0.18      0.00     85.73
09:57:20 PM       0      9.09      0.00      3.03      0.00      0.00     87.88
09:57:20 PM       1     11.34      0.00      2.06      0.00      0.00     86.60
09:57:20 PM       2      9.00      0.00     15.00      0.00      0.00     76.00
09:57:20 PM       3     42.86      0.00      5.10      0.00      0.00     52.04
09:57:20 PM       4      8.05      0.00      8.05      1.15      0.00     82.76
09:57:20 PM       5      5.49      0.00      9.89      0.00      0.00     84.62
09:57:20 PM       6      8.16      0.00      3.06      0.00      0.00     88.78
09:57:20 PM       7     12.12      0.00      5.05      1.01      0.00     81.82
09:57:20 PM       8      6.06      0.00      2.02      0.00      0.00     91.92
09:57:20 PM       9      8.08      0.00      3.03      0.00      0.00     88.89
09:57:20 PM      10      9.09      0.00      3.03      1.01      0.00     86.87
09:57:20 PM      11      7.00      0.00      4.00      0.00      0.00     89.00
09:57:20 PM      12      0.00      0.00      1.11      0.00      0.00     98.89
09:57:20 PM      13      0.00      0.00     46.88      0.00      0.00     53.12
09:57:20 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
09:57:20 PM      15      5.32      0.00      7.45      0.00      0.00     87.23
09:57:20 PM      16      1.02      0.00      1.02      0.00      0.00     97.96
09:57:20 PM      17      0.00      0.00      0.00      1.45      0.00     98.55
09:57:20 PM      18      9.09      0.00      4.04      0.00      0.00     85.86
09:57:20 PM      19      0.00      0.00     19.77      0.00      0.00     80.23
09:57:20 PM      20      0.00      0.00     18.37      1.02      0.00     80.61
09:57:20 PM      21      0.00      0.00     12.24      0.00      0.00     87.76
09:57:20 PM      22      0.00      0.00     18.89      0.00      0.00     81.11
09:57:20 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

09:57:20 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:57:21 PM     all      6.58      0.00      9.48      0.23      0.00     83.71
09:57:21 PM       0      4.12      0.00      6.19      0.00      0.00     89.69
09:57:21 PM       1     16.33      0.00      6.12      1.02      0.00     76.53
09:57:21 PM       2      6.12      0.00      4.08      0.00      0.00     89.80
09:57:21 PM       3      8.16      0.00      5.10      0.00      0.00     86.73
09:57:21 PM       4      3.45      0.00     11.49      0.00      0.00     85.06
09:57:21 PM       5      8.24      0.00     10.59      0.00      0.00     81.18
