09:56:39 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:56:40 PM     all      0.21      0.00      0.17      0.00      0.00     99.62
09:56:40 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
09:56:40 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
09:56:40 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
09:56:40 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
09:56:40 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
09:56:40 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
09:56:40 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
09:56:40 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
09:56:40 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
09:56:40 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
09:56:40 PM      10      0.00      0.00      0.99      0.00      0.00     99.01
09:56:40 PM      11      1.01      0.00      1.01      0.00      0.00     97.98
09:56:40 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
09:56:40 PM      13      0.00      0.00      1.00      0.00      0.00     99.00
09:56:40 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
09:56:40 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
09:56:40 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
09:56:40 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
09:56:40 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
09:56:40 PM      19      0.99      0.00      0.99      0.00      0.00     98.02
09:56:40 PM      20      1.00      0.00      0.00      0.00      0.00     99.00
09:56:40 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
09:56:40 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
09:56:40 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

09:56:40 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:56:41 PM     all      0.43      0.00      0.39      0.00      0.00     99.19
09:56:41 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
09:56:41 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
09:56:41 PM       2      1.04      0.00      2.08      0.00      0.00     96.88
09:56:41 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
09:56:41 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
09:56:41 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
09:56:41 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
09:56:41 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
09:56:41 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
09:56:41 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
09:56:41 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
09:56:41 PM      11      2.97      0.00      1.98      0.00      0.00     95.05
09:56:41 PM      12      2.00      0.00      0.00      0.00      0.00     98.00
09:56:41 PM      13      3.96      0.00      2.97      0.00      0.00     93.07
09:56:41 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
09:56:41 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
09:56:41 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
09:56:41 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
09:56:41 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
09:56:41 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
09:56:41 PM      20      0.00      0.00      0.99      0.00      0.00     99.01
09:56:41 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
09:56:41 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
09:56:41 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

09:56:41 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:56:42 PM     all      0.24      0.00      0.85      0.00      0.00     98.92
09:56:42 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
09:56:42 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
09:56:42 PM       2      0.00      0.00     19.61      0.00      0.00     80.39
09:56:42 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
09:56:42 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
09:56:42 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
09:56:42 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
09:56:42 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
09:56:42 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
09:56:42 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
09:56:42 PM      10      0.99      0.00      0.00      0.00      0.00     99.01
09:56:42 PM      11      1.01      0.00      1.01      0.00      0.00     97.98
09:56:42 PM      12      1.20      0.00      0.00      0.00      0.00     98.80
09:56:42 PM      13      1.01      0.00      0.00      0.00      0.00     98.99
09:56:42 PM      14      1.89      0.00      7.55      0.00      0.00     90.57
09:56:42 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
09:56:42 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
