Linux 3.10.0-229.el7.x86_64 (rhel7-23.in.ibm.com) 	11/10/2015 	_x86_64_	(24 CPU)

09:51:54 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:51:55 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
09:51:55 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:55 PM    br-int      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:55 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:55 PM      eth0     38.00     32.00      6.86      8.07      0.00      0.00      0.00
09:51:55 PM      eth1      8.00      0.00      0.47      0.00      0.00      0.00      6.00
09:51:55 PM      eth2      5.00      0.00      0.29      0.00      0.00      0.00      0.00
09:51:55 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:55 PM      eth4      7.00      2.00      0.41      0.20      0.00      0.00      0.00
09:51:55 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:55 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:55 PM     br-ex      8.00      0.00      0.47      0.00      0.00      0.00      0.00

09:51:55 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:51:56 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
09:51:56 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:56 PM    br-int      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:56 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:56 PM      eth0     19.00     13.00      2.22      1.53      0.00      0.00      0.00
09:51:56 PM      eth1     32.00     19.00      4.64      4.34      0.00      0.00      0.00
09:51:56 PM      eth2      6.00      0.00      0.35      0.00      0.00      0.00      0.00
09:51:56 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:56 PM      eth4     12.00      5.00      0.80      0.54      0.00      0.00      0.00
09:51:56 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:56 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:56 PM     br-ex     31.00     19.00      4.58      4.34      0.00      0.00      0.00

09:51:56 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:51:57 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
09:51:57 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:57 PM    br-int      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:57 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:57 PM      eth0     61.00     81.00     14.30      8.92      0.00      0.00      0.00
09:51:57 PM      eth1     11.00      0.00      0.90      0.00      0.00      0.00      7.00
09:51:57 PM      eth2      7.00      0.00      0.60      0.00      0.00      0.00      0.00
09:51:57 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:57 PM      eth4     13.00      4.00      1.03      0.80      0.00      0.00      0.00
09:51:57 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:57 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:57 PM     br-ex     11.00      0.00      0.90      0.00      0.00      0.00      0.00

09:51:57 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:51:58 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
09:51:58 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:58 PM tap7ce55065-62      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:58 PM    br-int 126740.00      0.00 3426902.61      0.00      0.00      0.00      0.00
09:51:58 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:58 PM      eth0 758195891.00 3269658280.00 946789842.42 4462671673.61      0.00      0.00    733.00
09:51:58 PM      eth1 4493536141.00 1413078912.00 5782962026.23 1775587192.73      0.00      0.00 358809.00
09:51:58 PM      eth2 467889.00      0.00  27625.67      0.00      0.00      0.00     24.00
09:51:58 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:58 PM      eth4 542297.00  82817.00  33059.96  14535.56      0.00      0.00    807.00
09:51:58 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:58 PM        lo 902259.00 902259.00  46998.76  46998.76      0.00      0.00      0.00
09:51:58 PM     br-ex 1037650.00 235479.00 11320133.90  17474.39      0.00      0.00      0.00

09:51:58 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:51:59 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
09:51:59 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:59 PM    br-int      1.00      0.00      0.09      0.00      0.00      0.00      0.00
09:51:59 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:59 PM      eth0     80.00     80.00     32.23     11.41      0.00      0.00      0.00
09:51:59 PM      eth1      7.00      0.00      0.41      0.00      0.00      0.00      6.00
09:51:59 PM      eth2      3.00      0.00      0.18      0.00      0.00      0.00      0.00
09:51:59 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:59 PM      eth4     19.00     32.00      1.13      4.81      0.00      0.00      0.00
09:51:59 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:59 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:51:59 PM     br-ex      7.00      0.00      0.42      0.00      0.00      0.00      0.00

09:51:59 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:52:00 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
09:52:00 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:00 PM    br-int      2.00      0.00      0.16      0.00      0.00      0.00      0.00
09:52:00 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:00 PM      eth0     99.00    101.00     38.26     16.57      0.00      0.00      0.00
09:52:00 PM      eth1      8.00      0.00      0.47      0.00      0.00      0.00      0.00
09:52:00 PM      eth2      4.00      0.00      0.23      0.00      0.00      0.00      0.00
09:52:00 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:00 PM      eth4     20.00     34.00      1.21      4.54      0.00      0.00      0.00
09:52:00 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:00 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:00 PM     br-ex      8.00      0.00      0.47      0.00      0.00      0.00      0.00

09:52:00 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:52:01 PM tap2f2700f8-45      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:01 PM      usb0 107806.00 107478.00   8590.75  10036.47      0.00      0.00      0.00
09:52:01 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:01 PM    br-int 126745.00      0.00 3426903.02      0.00      0.00      0.00      0.00
09:52:01 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:01 PM      eth0 758196152.00 3269658554.00 946789933.37 4462671718.01      0.00      0.00    733.00
09:52:01 PM      eth1 4493536164.00 1413078912.00 5782962027.59 1775587192.73      0.00      0.00 358823.00
09:52:01 PM      eth2 467901.00      0.00  27626.37      0.00      0.00      0.00     24.00
09:52:01 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:01 PM      eth4 542356.00  82909.00  33063.48  14548.74      0.00      0.00    807.00
09:52:01 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:01 PM        lo 902259.00 902259.00  46998.76  46998.76      0.00      0.00      0.00
09:52:01 PM     br-ex 1037673.00 235479.00 11320135.26  17474.39      0.00      0.00      0.00

09:52:01 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:52:02 PM      usb0      2.00      2.00      0.11      0.14      0.00      0.00      0.00
09:52:02 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:02 PM    br-int      3.00      0.00      0.26      0.00      0.00      0.00      0.00
09:52:02 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:02 PM      eth0     50.00     65.00      9.83     10.94      0.00      0.00      0.00
09:52:02 PM      eth1      9.00      0.00      0.53      0.00      0.00      0.00      0.00
09:52:02 PM      eth2      5.00      0.00      0.29      0.00      0.00      0.00      0.00
09:52:02 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:02 PM      eth4     19.00     28.00      1.16      3.37      0.00      0.00      0.00
09:52:02 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:02 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:02 PM     br-ex      9.00      0.00      0.54      0.00      0.00      0.00      0.00

09:52:02 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:52:03 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
09:52:03 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:03 PM    br-int      1.00      0.00      0.08      0.00      0.00      0.00      0.00
09:52:03 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:03 PM      eth0     82.00     99.00     18.53     18.98      0.00      0.00      0.00
09:52:03 PM      eth1     10.00      0.00      0.59      0.00      0.00      0.00      6.00
09:52:03 PM      eth2      7.00      0.00      0.41      0.00      0.00      0.00      0.00
09:52:03 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:03 PM      eth4     22.00     28.00      1.32      3.68      0.00      0.00      0.00
09:52:03 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:03 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:03 PM     br-ex     10.00      0.00      0.59      0.00      0.00      0.00      0.00

09:52:03 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:52:04 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
09:52:04 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:04 PM    br-int      4.00      0.00      0.33      0.00      0.00      0.00      0.00
09:52:04 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:04 PM      eth0     99.00    118.00     30.31     22.60      0.00      0.00      0.00
09:52:04 PM      eth1     10.00      0.00      0.59      0.00      0.00      0.00      0.00
09:52:04 PM      eth2      5.00      0.00      0.29      0.00      0.00      0.00      0.00
09:52:04 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:04 PM      eth4     18.00     21.00      1.05      2.64      0.00      0.00      0.00
09:52:04 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:04 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:04 PM     br-ex     10.00      0.00      0.60      0.00      0.00      0.00      0.00

09:52:04 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:52:05 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
09:52:05 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:05 PM    br-int      6.00      0.00      0.52      0.00      0.00      0.00      0.00
09:52:05 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:05 PM      eth0     82.00     92.00     28.86     16.68      0.00      0.00      0.00
09:52:05 PM      eth1      8.00      0.00      0.47      0.00      0.00      0.00      6.00
09:52:05 PM      eth2      5.00      0.00      0.29      0.00      0.00      0.00      0.00
09:52:05 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:05 PM      eth4     14.00     18.00      0.83      2.28      0.00      0.00      0.00
09:52:05 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:05 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:05 PM     br-ex      8.00      0.00      0.47      0.00      0.00      0.00      0.00

09:52:05 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:52:06 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
09:52:06 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:06 PM    br-int      7.00      0.00      0.61      0.00      0.00      0.00      0.00
09:52:06 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:06 PM      eth0    108.00    110.00     50.23     18.25      0.00      0.00      0.00
09:52:06 PM      eth1      8.00      0.00      0.47      0.00      0.00      0.00      0.00
09:52:06 PM      eth2      3.00      0.00      0.18      0.00      0.00      0.00      0.00
09:52:06 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:06 PM      eth4     14.00     17.00      0.84      2.15      0.00      0.00      0.00
09:52:06 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:06 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:06 PM     br-ex      8.00      0.00      0.48      0.00      0.00      0.00      0.00

09:52:06 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:52:07 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
09:52:07 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:07 PM    br-int     16.00      0.00      1.47      0.00      0.00      0.00      0.00
09:52:07 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:07 PM      eth0     63.00     62.00     18.26     10.04      0.00      0.00      0.00
09:52:07 PM      eth1      8.00      4.00      0.47      0.33      0.00      0.00      7.00
09:52:07 PM      eth2      6.00      0.00      0.35      0.00      0.00      0.00      0.00
09:52:07 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:07 PM      eth4     15.00     22.00      0.88      3.05      0.00      0.00      0.00
09:52:07 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:07 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:07 PM     br-ex     12.00      0.00      0.80      0.00      0.00      0.00      0.00
09:52:07 PM qg-18742bc9-48      4.00      0.00      0.22      0.00      0.00      0.00      0.00

09:52:07 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
09:52:08 PM      usb0      2.00      2.00      0.11      0.14      0.00      0.00      0.00
09:52:08 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:08 PM    br-int     24.00      0.00      1.75      0.00      0.00      0.00      0.00
09:52:08 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:52:08 PM      eth0     34.00     48.00      5.57      9.40      0.00      0.00      0.00
