Linux 3.10.0-229.el7.x86_64 (rhel7-25.in.ibm.com) 	11/10/2015 	_x86_64_	(24 CPU)

05:40:36 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:40:37 PM     all      0.08      0.00      0.33      0.00      0.00     99.58
05:40:37 PM       0      0.00      0.00      1.00      0.00      0.00     99.00
05:40:37 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:40:37 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:40:37 PM       3      0.00      0.00      1.00      0.00      0.00     99.00
05:40:37 PM       4      0.00      0.00      1.00      0.00      0.00     99.00
05:40:37 PM       5      1.00      0.00      0.00      0.00      0.00     99.00
05:40:37 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:40:37 PM       7      0.99      0.00      0.00      0.00      0.00     99.01
05:40:37 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:40:37 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
05:40:37 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:40:37 PM      11      0.00      0.00      0.99      0.00      0.00     99.01
05:40:37 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:40:37 PM      13      2.00      0.00      3.00      0.00      0.00     95.00
05:40:37 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:40:37 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:40:37 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:40:37 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:40:37 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:40:37 PM      19      0.00      0.00      2.00      0.00      0.00     98.00
05:40:37 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
05:40:37 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:40:37 PM      22      0.00      0.00      0.99      0.00      0.00     99.01
05:40:37 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

05:40:37 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:40:38 PM     all      0.21      0.00      0.21      0.04      0.00     99.54
05:40:38 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
05:40:38 PM       1      1.00      0.00      1.00      0.00      0.00     98.00
05:40:38 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:40:38 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:40:38 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:40:38 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:40:38 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:40:38 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:40:38 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:40:38 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
05:40:38 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:40:38 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:40:38 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:40:38 PM      13      0.00      0.00      1.00      0.00      0.00     99.00
