Linux 3.10.0-229.el7.x86_64 (rhel7-23.in.ibm.com) 	11/10/2015 	_x86_64_	(24 CPU)

05:40:03 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:40:04 PM     all      0.17      0.00      0.17      0.00      0.00     99.67
05:40:04 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
05:40:04 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:40:04 PM       2      1.01      0.00      0.00      0.00      0.00     98.99
05:40:04 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:40:04 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:40:04 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:40:04 PM       6      0.00      0.00      0.99      0.00      0.00     99.01
05:40:04 PM       7      0.99      0.00      0.99      0.00      0.00     98.02
05:40:04 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:40:04 PM       9      1.01      0.00      2.02      0.00      0.00     96.97
05:40:04 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:40:04 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:40:04 PM      12      0.99      0.00      0.00      0.00      0.00     99.01
05:40:04 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:40:04 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:40:04 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:40:04 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:40:04 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:40:04 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:40:04 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
05:40:04 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
05:40:04 PM      21      0.00      0.00      1.00      0.00      0.00     99.00
05:40:04 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:40:04 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

05:40:04 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:40:05 PM     all      1.38      0.00      0.25      0.00      0.00     98.37
05:40:05 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
05:40:05 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:40:05 PM       2      7.92      0.00      1.98      0.00      0.00     90.10
05:40:05 PM       3      9.00      0.00      0.00      0.00      0.00     91.00
05:40:05 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:40:05 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:40:05 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:40:05 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:40:05 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:40:05 PM       9      2.00      0.00      1.00      0.00      0.00     97.00
05:40:05 PM      10      1.01      0.00      0.00      0.00      0.00     98.99
05:40:05 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:40:05 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:40:05 PM      13      8.91      0.00      1.98      0.00      0.00     89.11
05:40:05 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:40:05 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:40:05 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:40:05 PM      17      1.00      0.00      0.00      0.00      0.00     99.00
05:40:05 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:40:05 PM      19      3.96      0.00      0.99      0.00      0.00     95.05
05:40:05 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
05:40:05 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:40:05 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:40:05 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

05:40:05 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:40:06 PM     all      0.21      0.00      0.13      0.00      0.00     99.67
05:40:06 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
05:40:06 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:40:06 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:40:06 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:40:06 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:40:06 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:40:06 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:40:06 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:40:06 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:40:06 PM       9      1.98      0.00      0.99      0.00      0.00     97.03
05:40:06 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:40:06 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:40:06 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:40:06 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:40:06 PM      14      1.00      0.00      0.00      0.00      0.00     99.00
05:40:06 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:40:06 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:40:06 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:40:06 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:40:06 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
05:40:06 PM      20      1.00      0.00      1.00      0.00      0.00     98.00
05:40:06 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:40:06 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:40:06 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

05:40:06 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:40:07 PM     all      0.38      0.00      0.13      0.00      0.00     99.50
05:40:07 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
05:40:07 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:40:07 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:40:07 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:40:07 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:40:07 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:40:07 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:40:07 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:40:07 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:40:07 PM       9      2.02      0.00      1.01      0.00      0.00     96.97
05:40:07 PM      10      1.00      0.00      0.00      0.00      0.00     99.00
05:40:07 PM      11      0.99      0.00      0.00      0.00      0.00     99.01
05:40:07 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:40:07 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:40:07 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:40:07 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:40:07 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:40:07 PM      17      0.00      0.00      0.99      0.00      0.00     99.01
05:40:07 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:40:07 PM      19      3.03      0.00      1.01      0.00      0.00     95.96
05:40:07 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
05:40:07 PM      21      1.00      0.00      0.00      0.00      0.00     99.00
05:40:07 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:40:07 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

05:40:07 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:40:08 PM     all      0.17      0.00      0.08      0.00      0.00     99.75
05:40:08 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
05:40:08 PM       1      0.99      0.00      0.00      0.00      0.00     99.01
05:40:08 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:40:08 PM       3      0.99      0.00      0.00      0.00      0.00     99.01
05:40:08 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:40:08 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:40:08 PM       6      0.99      0.00      0.00      0.00      0.00     99.01
05:40:08 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:40:08 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:40:08 PM       9      1.00      0.00      2.00      0.00      0.00     97.00
05:40:08 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:40:08 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:40:08 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:40:08 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:40:08 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:40:08 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:40:08 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:40:08 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:40:08 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:40:08 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
05:40:08 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
05:40:08 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:40:08 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:40:08 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

05:40:08 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:40:09 PM     all      0.33      0.00      0.17      0.00      0.00     99.50
05:40:09 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
05:40:09 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:40:09 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:40:09 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:40:09 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:40:09 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:40:09 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:40:09 PM       7      0.99      0.00      0.00      0.00      0.00     99.01
05:40:09 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:40:09 PM       9      1.98      0.00      1.98      0.00      0.00     96.04
05:40:09 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:40:09 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:40:09 PM      12      0.99      0.00      0.00      0.00      0.00     99.01
05:40:09 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:40:09 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:40:09 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:40:09 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:40:09 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:40:09 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:40:09 PM      19      4.00      0.00      1.00      0.00      0.00     95.00
05:40:09 PM      20      0.99      0.00      0.00      0.00      0.00     99.01
05:40:09 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:40:09 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:40:09 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

05:40:09 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:40:10 PM     all      1.38      0.00      0.83      0.04      0.00     97.75
05:40:10 PM       0      1.01      0.00      0.00      0.00      0.00     98.99
05:40:10 PM       1      0.00      0.00      0.00      1.01      0.00     98.99
05:40:10 PM       2      0.00      0.00      0.99      0.00      0.00     99.01
05:40:10 PM       3      4.00      0.00      2.00      0.00      0.00     94.00
05:40:10 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:40:10 PM       5      4.00      0.00      1.00      0.00      0.00     95.00
05:40:10 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:40:10 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:40:10 PM       8      1.00      0.00      0.00      0.00      0.00     99.00
05:40:10 PM       9      0.00      0.00      1.01      0.00      0.00     98.99
05:40:10 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:40:10 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:40:10 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:40:10 PM      13      1.00      0.00      2.00      0.00      0.00     97.00
05:40:10 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:40:10 PM      15      1.00      0.00      0.00      0.00      0.00     99.00
05:40:10 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:40:10 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:40:10 PM      18      3.00      0.00      1.00      0.00      0.00     96.00
05:40:10 PM      19     13.00      0.00      8.00      0.00      0.00     79.00
05:40:10 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
05:40:10 PM      21      4.00      0.00      2.00      0.00      0.00     94.00
05:40:10 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:40:10 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

05:40:10 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:40:11 PM     all      3.01      0.00      1.59      0.08      0.00     95.32
05:40:11 PM       0      0.00      0.00      0.99      0.99      0.00     98.02
05:40:11 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:40:11 PM       2      4.04      0.00      1.01      0.00      0.00     94.95
05:40:11 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:40:11 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:40:11 PM       5      0.00      0.00      0.99      0.99      0.00     98.02
05:40:11 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:40:11 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:40:11 PM       8      3.00      0.00      2.00      0.00      0.00     95.00
05:40:11 PM       9      1.01      0.00      1.01      0.00      0.00     97.98
05:40:11 PM      10      0.98      0.00      0.98      0.00      0.00     98.04
05:40:11 PM      11      1.01      0.00      0.00      0.00      0.00     98.99
05:40:11 PM      12      0.00      0.00      0.99      0.00      0.00     99.01
05:40:11 PM      13     20.20      0.00      8.08      0.00      0.00     71.72
05:40:11 PM      14      4.00      0.00      2.00      0.00      0.00     94.00
05:40:11 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:40:11 PM      16      3.00      0.00      2.00      0.00      0.00     95.00
05:40:11 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:40:11 PM      18      4.00      0.00      2.00      0.00      0.00     94.00
05:40:11 PM      19     27.00      0.00     12.00      0.00      0.00     61.00
05:40:11 PM      20      0.00      0.00      2.02      0.00      0.00     97.98
05:40:11 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:40:11 PM      22      3.96      0.00      1.98      0.00      0.00     94.06
05:40:11 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

05:40:11 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:40:12 PM     all      6.38      0.00      2.17      0.17      0.00     91.28
05:40:12 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
05:40:12 PM       1      1.00      0.00      0.00      0.00      0.00     99.00
05:40:12 PM       2     22.00      0.00      5.00      1.00      0.00     72.00
05:40:12 PM       3      2.02      0.00      1.01      0.00      0.00     96.97
05:40:12 PM       4      0.00      0.00      0.99      0.99      0.00     98.02
05:40:12 PM       5      0.00      0.00      0.00      1.01      0.00     98.99
05:40:12 PM       6      0.00      0.00      1.00      0.00      0.00     99.00
05:40:12 PM       7      3.03      0.00      1.01      0.00      0.00     95.96
05:40:12 PM       8     27.00      0.00      3.00      0.00      0.00     70.00
05:40:12 PM       9      1.98      0.00      1.98      0.00      0.00     96.04
05:40:12 PM      10      1.01      0.00      0.00      0.00      0.00     98.99
05:40:12 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:40:12 PM      12     13.13      0.00      1.01      0.00      0.00     85.86
