Linux 3.10.0-229.el7.x86_64 (rhel7-30.in.ibm.com) 	12/03/2015 	_x86_64_	(24 CPU)

12:56:58 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:56:59 PM     all      7.32      0.00      2.31      0.59      0.00     89.78
12:56:59 PM       0      3.12      0.00      5.21      0.00      0.00     91.67
12:56:59 PM       1     10.10      0.00      3.03      0.00      0.00     86.87
12:56:59 PM       2      3.03      0.00      5.05      2.02      0.00     89.90
12:56:59 PM       3      3.09      0.00      2.06      0.00      0.00     94.85
12:56:59 PM       4      3.09      0.00      3.09      0.00      0.00     93.81
12:56:59 PM       5      3.03      0.00      4.04      0.00      0.00     92.93
12:56:59 PM       6      1.01      0.00      1.01      0.00      0.00     97.98
12:56:59 PM       7     19.19      0.00      1.01      0.00      0.00     79.80
12:56:59 PM       8      5.05      0.00      2.02      1.01      0.00     91.92
12:56:59 PM       9      1.01      0.00      2.02      1.01      0.00     95.96
12:56:59 PM      10     99.00      0.00      1.00      0.00      0.00      0.00
12:56:59 PM      11      3.06      0.00      1.02      2.04      0.00     93.88
12:56:59 PM      12      2.00      0.00      3.00      0.00      0.00     95.00
12:56:59 PM      13      2.00      0.00      2.00      0.00      0.00     96.00
12:56:59 PM      14      1.02      0.00      3.06      0.00      0.00     95.92
12:56:59 PM      15      2.02      0.00      2.02      0.00      0.00     95.96
12:56:59 PM      16      2.00      0.00      2.00      0.00      0.00     96.00
12:56:59 PM      17      5.10      0.00      2.04      0.00      0.00     92.86
12:56:59 PM      18      0.00      0.00      0.99      1.98      0.00     97.03
12:56:59 PM      19      3.00      0.00      7.00      1.00      0.00     89.00
12:56:59 PM      20      0.00      0.00      0.00      1.01      0.00     98.99
12:56:59 PM      21      0.00      0.00      0.00      2.00      0.00     98.00
12:56:59 PM      22      1.01      0.00      3.03      0.00      0.00     95.96
12:56:59 PM      23      0.00      0.00      0.00      2.00      0.00     98.00

12:56:59 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:57:00 PM     all      7.43      0.00      1.93      0.67      0.00     89.96
12:57:00 PM       0      4.00      0.00      3.00      7.00      0.00     86.00
12:57:00 PM       1     13.27      0.00      2.04      0.00      0.00     84.69
12:57:00 PM       2      5.10      0.00      4.08      0.00      0.00     90.82
12:57:00 PM       3      5.05      0.00      3.03      0.00      0.00     91.92
12:57:00 PM       4      3.00      0.00      4.00      0.00      0.00     93.00
12:57:00 PM       5     22.00      0.00      3.00      0.00      0.00     75.00
12:57:00 PM       6      2.00      0.00      2.00      0.00      0.00     96.00
12:57:00 PM       7      1.00      0.00      0.00      0.00      0.00     99.00
12:57:00 PM       8      1.01      0.00      1.01      0.00      0.00     97.98
12:57:00 PM       9      2.00      0.00      1.00      0.00      0.00     97.00
12:57:00 PM      10    100.00      0.00      0.00      0.00      0.00      0.00
12:57:00 PM      11      2.02      0.00      2.02      0.00      0.00     95.96
12:57:00 PM      12      2.04      0.00      2.04      0.00      0.00     95.92
12:57:00 PM      13      1.01      0.00      3.03      0.00      0.00     95.96
12:57:00 PM      14      7.07      0.00      3.03      0.00      0.00     89.90
12:57:00 PM      15      2.02      0.00      2.02      0.00      0.00     95.96
12:57:00 PM      16      2.04      0.00      2.04      1.02      0.00     94.90
12:57:00 PM      17      2.02      0.00      2.02      7.07      0.00     88.89
12:57:00 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
12:57:00 PM      19      3.00      0.00      4.00      0.00      0.00     93.00
12:57:00 PM      20      0.98      0.00      0.98      0.00      0.00     98.04
12:57:00 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
12:57:00 PM      22      2.04      0.00      1.02      0.00      0.00     96.94
12:57:00 PM      23      0.98      0.00      0.98      0.00      0.00     98.04

12:57:00 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:57:01 PM     all      8.03      0.00      1.89      0.42      0.00     89.66
12:57:01 PM       0      2.06      0.00      2.06      0.00      0.00     95.88
12:57:01 PM       1      3.00      0.00      3.00      1.00      0.00     93.00
12:57:01 PM       2      5.10      0.00      4.08      0.00      0.00     90.82
12:57:01 PM       3      3.06      0.00      3.06      0.00      0.00     93.88
12:57:01 PM       4      5.05      0.00      2.02      0.00      0.00     92.93
12:57:01 PM       5      3.06      0.00      2.04      0.00      0.00     94.90
12:57:01 PM       6      3.06      0.00      3.06      0.00      0.00     93.88
12:57:01 PM       7     23.23      0.00      1.01      0.00      0.00     74.75
12:57:01 PM       8     20.20      0.00      0.00      1.01      0.00     78.79
12:57:01 PM       9      3.06      0.00      1.02      0.00      0.00     95.92
12:57:01 PM      10     99.00      0.00      1.00      0.00      0.00      0.00
12:57:01 PM      11      1.98      0.00      1.98      1.98      0.00     94.06
12:57:01 PM      12      2.04      0.00      3.06      0.00      0.00     94.90
12:57:01 PM      13      2.04      0.00      2.04      0.00      0.00     95.92
12:57:01 PM      14      2.00      0.00      3.00      0.00      0.00     95.00
12:57:01 PM      15      2.02      0.00      4.04      0.00      0.00     93.94
12:57:01 PM      16      2.04      0.00      2.04      0.00      0.00     95.92
12:57:01 PM      17      2.04      0.00      2.04      2.04      0.00     93.88
12:57:01 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
12:57:01 PM      19      3.00      0.00      3.00      2.00      0.00     92.00
12:57:01 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
12:57:01 PM      21      0.00      0.00      0.00      1.00      0.00     99.00
12:57:01 PM      22      2.00      0.00      2.00      0.00      0.00     96.00
12:57:01 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

12:57:01 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:57:02 PM     all      8.28      0.00      1.97      0.88      0.00     88.87
12:57:02 PM       0      6.00      0.00      3.00      3.00      0.00     88.00
12:57:02 PM       1      3.06      0.00      3.06      1.02      0.00     92.86
12:57:02 PM       2      4.08      0.00      3.06      0.00      0.00     92.86
12:57:02 PM       3      5.05      0.00      5.05      1.01      0.00     88.89
12:57:02 PM       4      6.12      0.00      4.08      0.00      0.00     89.80
12:57:02 PM       5     21.43      0.00      2.04      1.02      0.00     75.51
12:57:02 PM       6      3.00      0.00      2.00      0.00      0.00     95.00
12:57:02 PM       7      3.03      0.00      2.02      0.00      0.00     94.95
12:57:02 PM       8     13.00      0.00      1.00      1.00      0.00     85.00
12:57:02 PM       9     13.00      0.00      1.00      0.00      0.00     86.00
12:57:02 PM      10    100.00      0.00      0.00      0.00      0.00      0.00
12:57:02 PM      11      3.03      0.00      1.01      0.00      0.00     95.96
12:57:02 PM      12      1.01      0.00      2.02      2.02      0.00     94.95
12:57:02 PM      13      2.02      0.00      3.03      2.02      0.00     92.93
12:57:02 PM      14      3.03      0.00      3.03      1.01      0.00     92.93
12:57:02 PM      15      4.12      0.00      2.06      0.00      0.00     93.81
12:57:02 PM      16      2.02      0.00      2.02      1.01      0.00     94.95
12:57:02 PM      17      1.02      0.00      2.04      6.12      0.00     90.82
12:57:02 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
12:57:02 PM      19      2.02      0.00      2.02      1.01      0.00     94.95
12:57:02 PM      20      0.00      0.00      1.00      0.00      0.00     99.00
12:57:02 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
12:57:02 PM      22      2.02      0.00      2.02      0.00      0.00     95.96
12:57:02 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

12:57:02 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:57:03 PM     all      7.13      0.00      1.76      0.55      0.00     90.56
12:57:03 PM       0      3.06      0.00      3.06      0.00      0.00     93.88
12:57:03 PM       1      4.12      0.00      2.06      1.03      0.00     92.78
12:57:03 PM       2      5.05      0.00      3.03      0.00      0.00     91.92
12:57:03 PM       3      6.12      0.00      3.06      0.00      0.00     90.82
12:57:03 PM       4      3.06      0.00      4.08      0.00      0.00     92.86
12:57:03 PM       5      6.00      0.00      4.00      0.00      0.00     90.00
12:57:03 PM       6      1.01      0.00      1.01      0.00      0.00     97.98
12:57:03 PM       7      1.01      0.00      2.02      0.00      0.00     96.97
12:57:03 PM       8      3.00      0.00      1.00      0.00      0.00     96.00
12:57:03 PM       9      1.00      0.00      1.00      0.00      0.00     98.00
12:57:03 PM      10     99.01      0.00      0.99      0.00      0.00      0.00
12:57:03 PM      11      1.01      0.00      1.01      0.00      0.00     97.98
12:57:03 PM      12     20.41      0.00      0.00      0.00      0.00     79.59
12:57:03 PM      13      2.02      0.00      2.02      0.00      0.00     95.96
12:57:03 PM      14      2.00      0.00      2.00      0.00      0.00     96.00
12:57:03 PM      15      2.00      0.00      2.00      2.00      0.00     94.00
12:57:03 PM      16      2.02      0.00      3.03      0.00      0.00     94.95
12:57:03 PM      17      2.97      0.00      1.98      9.90      0.00     85.15
12:57:03 PM      18      1.00      0.00      1.00      0.00      0.00     98.00
12:57:03 PM      19      1.98      0.00      2.97      1.98      0.00     93.07
12:57:03 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
12:57:03 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
12:57:03 PM      22      1.01      0.00      2.02      0.00      0.00     96.97
12:57:03 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

12:57:03 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:57:04 PM     all      8.45      0.00      1.98      1.01      0.00     88.57
12:57:04 PM       0     18.18      0.00      2.02      2.02      0.00     77.78
12:57:04 PM       1      5.00      0.00      4.00      1.00      0.00     90.00
12:57:04 PM       2      6.19      0.00      4.12      1.03      0.00     88.66
12:57:04 PM       3     15.31      0.00      6.12      1.02      0.00     77.55
12:57:04 PM       4      4.08      0.00      2.04      0.00      0.00     93.88
