Linux 3.10.0-229.el7.x86_64 (rhel7-23.in.ibm.com) 	12/03/2015 	_x86_64_	(24 CPU)

12:56:05 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:56:06 PM     all      0.25      0.00      0.21      0.00      0.00     99.54
12:56:06 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
12:56:06 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
12:56:06 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
12:56:06 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
12:56:06 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
12:56:06 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
12:56:06 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
12:56:06 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
12:56:06 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
12:56:06 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
12:56:06 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
12:56:06 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
12:56:06 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
12:56:06 PM      13      0.99      0.00      0.99      0.00      0.00     98.02
12:56:06 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
12:56:06 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
12:56:06 PM      16      1.00      0.00      1.00      0.00      0.00     98.00
12:56:06 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
12:56:06 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
12:56:06 PM      19      3.00      0.00      3.00      0.00      0.00     94.00
12:56:06 PM      20      0.00      0.00      0.99      0.00      0.00     99.01
12:56:06 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
12:56:06 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
12:56:06 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

12:56:06 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:56:07 PM     all      0.33      0.00      0.29      0.00      0.00     99.37
12:56:07 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
12:56:07 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
12:56:07 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
12:56:07 PM       3      3.03      0.00      0.00      0.00      0.00     96.97
12:56:07 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
12:56:07 PM       5      1.00      0.00      0.00      0.00      0.00     99.00
12:56:07 PM       6      0.00      0.00      0.99      0.00      0.00     99.01
12:56:07 PM       7      1.98      0.00      0.99      0.00      0.00     97.03
12:56:07 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
12:56:07 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
12:56:07 PM      10      0.00      0.00      0.99      0.00      0.00     99.01
12:56:07 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
12:56:07 PM      12      0.99      0.00      0.00      0.00      0.00     99.01
12:56:07 PM      13      0.00      0.00      1.01      0.00      0.00     98.99
12:56:07 PM      14      0.99      0.00      0.00      0.00      0.00     99.01
12:56:07 PM      15      0.00      0.00      1.00      0.00      0.00     99.00
12:56:07 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
12:56:07 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
12:56:07 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
12:56:07 PM      19      0.99      0.00      1.98      0.00      0.00     97.03
12:56:07 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
12:56:07 PM      21      0.99      0.00      0.00      0.00      0.00     99.01
12:56:07 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
12:56:07 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

12:56:07 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:56:08 PM     all      0.29      0.00      0.25      0.00      0.00     99.46
12:56:08 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
12:56:08 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
12:56:08 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
12:56:08 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
12:56:08 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
12:56:08 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
12:56:08 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
12:56:08 PM       7      1.01      0.00      2.02      0.00      0.00     96.97
12:56:08 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
12:56:08 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
12:56:08 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
12:56:08 PM      11      0.99      0.00      0.99      0.00      0.00     98.02
12:56:08 PM      12      0.00      0.00      1.01      0.00      0.00     98.99
12:56:08 PM      13      1.00      0.00      1.00      0.00      0.00     98.00
12:56:08 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
12:56:08 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
12:56:08 PM      16      0.00      0.00      1.00      0.00      0.00     99.00
12:56:08 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
12:56:08 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
12:56:08 PM      19      1.00      0.00      1.00      0.00      0.00     98.00
12:56:08 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
12:56:08 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
12:56:08 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
12:56:08 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

12:56:08 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:56:09 PM     all      0.42      0.00      0.42      0.00      0.00     99.16
12:56:09 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
12:56:09 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
12:56:09 PM       2      1.00      0.00      0.00      0.00      0.00     99.00
12:56:09 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
12:56:09 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
12:56:09 PM       5      0.00      0.00      0.99      0.00      0.00     99.01
12:56:09 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
12:56:09 PM       7      1.00      0.00      2.00      0.00      0.00     97.00
12:56:09 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
12:56:09 PM       9      1.00      0.00      0.00      0.00      0.00     99.00
12:56:09 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
12:56:09 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
12:56:09 PM      12      0.99      0.00      0.99      0.00      0.00     98.02
