Linux 3.10.0-229.el7.x86_64 (rhel7-23.in.ibm.com) 	11/10/2015 	_x86_64_	(24 CPU)

05:21:37 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:21:38 PM     all      0.38      0.00      0.29      0.04      0.00     99.29
05:21:38 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
05:21:38 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:21:38 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:21:38 PM       3      2.00      0.00      3.00      0.00      0.00     95.00
05:21:38 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:21:38 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:21:38 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:21:38 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:21:38 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:21:38 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
05:21:38 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:21:38 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:21:38 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:21:38 PM      13      1.00      0.00      1.00      0.00      0.00     98.00
05:21:38 PM      14      0.99      0.00      0.99      0.00      0.00     98.02
05:21:38 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:21:38 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:21:38 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:21:38 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:21:38 PM      19      3.96      0.00      0.99      0.00      0.00     95.05
05:21:38 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
05:21:38 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:21:38 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:21:38 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

05:21:38 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:21:39 PM     all      1.13      0.00      0.29      0.00      0.00     98.58
05:21:39 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
05:21:39 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:21:39 PM       2      0.00      0.00      0.99      0.00      0.00     99.01
05:21:39 PM       3     16.83      0.00      3.96      0.00      0.00     79.21
05:21:39 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:21:39 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:21:39 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:21:39 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:21:39 PM       8      1.00      0.00      1.00      0.00      0.00     98.00
05:21:39 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
05:21:39 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:21:39 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:21:39 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:21:39 PM      13      8.00      0.00      2.00      0.00      0.00     90.00
05:21:39 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:21:39 PM      15      1.00      0.00      0.00      0.00      0.00     99.00
05:21:39 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:21:39 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:21:39 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:21:39 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
05:21:39 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
05:21:39 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:21:39 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:21:39 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

05:21:39 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:21:40 PM     all      0.38      0.00      0.17      0.00      0.00     99.46
05:21:40 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
05:21:40 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:21:40 PM       2      1.00      0.00      0.00      0.00      0.00     99.00
05:21:40 PM       3      1.00      0.00      1.00      0.00      0.00     98.00
05:21:40 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:21:40 PM       5      1.00      0.00      0.00      0.00      0.00     99.00
05:21:40 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:21:40 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:21:40 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:21:40 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
05:21:40 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:21:40 PM      11      1.00      0.00      0.00      0.00      0.00     99.00
05:21:40 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:21:40 PM      13      0.00      0.00      1.00      0.00      0.00     99.00
05:21:40 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:21:40 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:21:40 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:21:40 PM      17      1.00      0.00      0.00      0.00      0.00     99.00
05:21:40 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:21:40 PM      19      3.00      0.00      1.00      0.00      0.00     96.00
05:21:40 PM      20      0.99      0.00      0.00      0.00      0.00     99.01
05:21:40 PM      21      1.00      0.00      0.00      0.00      0.00     99.00
05:21:40 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:21:40 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

05:21:40 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:21:41 PM     all      0.17      0.00      0.08      0.00      0.00     99.75
05:21:41 PM       0      0.99      0.00      0.00      0.00      0.00     99.01
05:21:41 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:21:41 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:21:41 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:21:41 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:21:41 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:21:41 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:21:41 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:21:41 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:21:41 PM       9      0.00      0.00      0.99      0.00      0.00     99.01
05:21:41 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:21:41 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:21:41 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:21:41 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:21:41 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:21:41 PM      15      1.98      0.00      0.99      0.00      0.00     97.03
05:21:41 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:21:41 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:21:41 PM      18      1.00      0.00      0.00      0.00      0.00     99.00
05:21:41 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
05:21:41 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
05:21:41 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:21:41 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:21:41 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

05:21:41 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:21:42 PM     all      0.38      0.00      0.17      0.00      0.00     99.46
05:21:42 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
05:21:42 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:21:42 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
05:21:42 PM       3      0.99      0.00      0.99      0.00      0.00     98.02
05:21:42 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:21:42 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:21:42 PM       6      1.00      0.00      0.00      0.00      0.00     99.00
05:21:42 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:21:42 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:21:42 PM       9      0.99      0.00      0.00      0.00      0.00     99.01
05:21:42 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:21:42 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:21:42 PM      12      0.99      0.00      0.00      0.00      0.00     99.01
05:21:42 PM      13      1.01      0.00      0.00      0.00      0.00     98.99
05:21:42 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:21:42 PM      15      0.00      0.00      1.00      0.00      0.00     99.00
05:21:42 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:21:42 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:21:42 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:21:42 PM      19      3.96      0.00      0.99      0.00      0.00     95.05
05:21:42 PM      20      0.00      0.00      0.99      0.00      0.00     99.01
05:21:42 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:21:42 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:21:42 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

05:21:42 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:21:43 PM     all      0.21      0.00      0.08      0.00      0.00     99.71
05:21:43 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
05:21:43 PM       1      0.00      0.00      0.99      0.00      0.00     99.01
05:21:43 PM       2      1.00      0.00      0.00      0.00      0.00     99.00
05:21:43 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
05:21:43 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:21:43 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:21:43 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:21:43 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:21:43 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
05:21:43 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
05:21:43 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:21:43 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
05:21:43 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:21:43 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
05:21:43 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
05:21:43 PM      15      1.00      0.00      0.00      0.00      0.00     99.00
05:21:43 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:21:43 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:21:43 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
05:21:43 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
05:21:43 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
05:21:43 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:21:43 PM      22      1.00      0.00      0.00      0.00      0.00     99.00
05:21:43 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

05:21:43 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:21:44 PM     all      1.59      0.00      0.83      0.04      0.00     97.54
05:21:44 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
05:21:44 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:21:44 PM       2      1.98      0.00      0.99      0.00      0.00     97.03
05:21:44 PM       3      1.00      0.00      2.00      0.00      0.00     97.00
05:21:44 PM       4      0.99      0.00      0.00      0.00      0.00     99.01
05:21:44 PM       5      1.00      0.00      1.00      0.00      0.00     98.00
05:21:44 PM       6      0.99      0.00      0.00      0.00      0.00     99.01
05:21:44 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:21:44 PM       8      1.01      0.00      0.00      0.00      0.00     98.99
05:21:44 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
05:21:44 PM      10      0.99      0.00      0.99      0.00      0.00     98.02
05:21:44 PM      11      1.01      0.00      0.00      0.00      0.00     98.99
05:21:44 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
05:21:44 PM      13      7.00      0.00      4.00      0.00      0.00     89.00
05:21:44 PM      14      1.00      0.00      0.00      0.00      0.00     99.00
05:21:44 PM      15      0.00      0.00      1.00      0.00      0.00     99.00
05:21:44 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:21:44 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:21:44 PM      18      3.00      0.00      1.00      0.00      0.00     96.00
05:21:44 PM      19     19.80      0.00      7.92      0.00      0.00     72.28
05:21:44 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
05:21:44 PM      21      1.00      0.00      0.00      0.00      0.00     99.00
05:21:44 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:21:44 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

05:21:44 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:21:45 PM     all      2.30      0.00      1.25      0.04      0.00     96.40
05:21:45 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
05:21:45 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
05:21:45 PM       2      3.00      0.00      2.00      0.00      0.00     95.00
05:21:45 PM       3      1.01      0.00      1.01      0.00      0.00     97.98
05:21:45 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
05:21:45 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
05:21:45 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
05:21:45 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
05:21:45 PM       8      3.00      0.00      1.00      0.00      0.00     96.00
05:21:45 PM       9      2.02      0.00      1.01      0.00      0.00     96.97
05:21:45 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
05:21:45 PM      11      0.00      0.00      0.00      1.00      0.00     99.00
05:21:45 PM      12      1.00      0.00      0.00      0.00      0.00     99.00
05:21:45 PM      13      5.00      0.00      4.00      0.00      0.00     91.00
05:21:45 PM      14      9.00      0.00      3.00      0.00      0.00     88.00
05:21:45 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
05:21:45 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
05:21:45 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
05:21:45 PM      18      3.00      0.00      1.00      0.00      0.00     96.00
05:21:45 PM      19     23.47      0.00     14.29      0.00      0.00     62.24
05:21:45 PM      20      2.00      0.00      2.00      0.00      0.00     96.00
05:21:45 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
05:21:45 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
05:21:45 PM      23      0.99      0.00      0.00      0.00      0.00     99.01

05:21:45 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:21:46 PM     all      6.13      0.00      2.29      0.13      0.00     91.45
05:21:46 PM       0      0.00      0.00      1.00      0.00      0.00     99.00
05:21:46 PM       1      1.01      0.00      0.00      0.00      0.00     98.99
05:21:46 PM       2      2.00      0.00      1.00      0.00      0.00     97.00
05:21:46 PM       3      2.00      0.00      2.00      0.00      0.00     96.00
05:21:46 PM       4      0.00      0.00      0.00      1.01      0.00     98.99
05:21:46 PM       5      0.00      0.00      0.00      1.00      0.00     99.00
05:21:46 PM       6      0.00      0.00      1.01      0.00      0.00     98.99
05:21:46 PM       7      1.00      0.00      0.00      0.00      0.00     99.00
05:21:46 PM       8     42.42      0.00      7.07      0.00      0.00     50.51
05:21:46 PM       9      1.00      0.00      1.00      0.00      0.00     98.00
05:21:46 PM      10     20.20      0.00      1.01      0.00      0.00     78.79
05:21:46 PM      11      1.00      0.00      1.00      0.00      0.00     98.00
05:21:46 PM      12      0.00      0.00      2.02      0.00      0.00     97.98
05:21:46 PM      13     10.00      0.00      7.00      0.00      0.00     83.00
05:21:46 PM      14      6.00      0.00      4.00      1.00      0.00     89.00
05:21:46 PM      15      8.00      0.00      2.00      0.00      0.00     90.00
05:21:46 PM      16     16.00      0.00      5.00      0.00      0.00     79.00
05:21:46 PM      17      0.00      0.00      0.99      0.00      0.00     99.01
05:21:46 PM      18      3.00      0.00      3.00      0.00      0.00     94.00
05:21:46 PM      19     24.00      0.00      9.00      0.00      0.00     67.00
