Linux 3.10.0-229.el7.x86_64 (rhel7-23.in.ibm.com) 	12/03/2015 	_x86_64_	(24 CPU)

12:30:58 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:30:59 PM     all      0.21      0.00      0.25      0.00      0.00     99.54
12:30:59 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
12:30:59 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
12:30:59 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
12:30:59 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
12:30:59 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
12:30:59 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
12:30:59 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
12:30:59 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
12:30:59 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
12:30:59 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
12:30:59 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
12:30:59 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
12:30:59 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
12:30:59 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
12:30:59 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
12:30:59 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
12:30:59 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
12:30:59 PM      17      0.00      0.00      0.99      0.00      0.00     99.01
12:30:59 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
12:30:59 PM      19      1.01      0.00      4.04      0.00      0.00     94.95
12:30:59 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
12:30:59 PM      21      1.00      0.00      1.00      0.00      0.00     98.00
12:30:59 PM      22      0.99      0.00      0.99      0.00      0.00     98.02
12:30:59 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

12:30:59 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:31:00 PM     all      0.50      0.00      0.75      0.00      0.00     98.75
12:31:00 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
12:31:00 PM       1      0.99      0.00      0.00      0.00      0.00     99.01
12:31:00 PM       2      0.99      0.00      0.00      0.00      0.00     99.01
12:31:00 PM       3      0.00      0.00      1.00      0.00      0.00     99.00
12:31:00 PM       4      0.00      0.00      1.00      0.00      0.00     99.00
12:31:00 PM       5      0.00      0.00      1.00      0.00      0.00     99.00
12:31:00 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
12:31:00 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
12:31:00 PM       8      1.00      0.00      0.00      0.00      0.00     99.00
12:31:00 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
12:31:00 PM      10      0.00      0.00      1.00      0.00      0.00     99.00
12:31:00 PM      11      0.99      0.00      0.99      0.00      0.00     98.02
12:31:00 PM      12      0.00      0.00      0.99      0.00      0.00     99.01
12:31:00 PM      13      4.04      0.00      3.03      0.00      0.00     92.93
12:31:00 PM      14      0.00      0.00      2.02      0.00      0.00     97.98
12:31:00 PM      15      0.00      0.00      1.00      0.00      0.00     99.00
12:31:00 PM      16      0.00      0.00      0.99      0.00      0.00     99.01
12:31:00 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
12:31:00 PM      18      1.00      0.00      0.00      0.00      0.00     99.00
12:31:00 PM      19      2.97      0.00      3.96      0.00      0.00     93.07
12:31:00 PM      20      0.00      0.00      1.00      0.00      0.00     99.00
12:31:00 PM      21      1.00      0.00      1.00      0.00      0.00     98.00
12:31:00 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
12:31:00 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

12:31:00 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:31:01 PM     all      0.26      0.00      5.89      0.00      0.00     93.85
12:31:01 PM       0      1.20      0.00      1.20      0.00      0.00     97.59
12:31:01 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
12:31:01 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
12:31:01 PM       3      0.00      0.00     58.51      0.00      0.00     41.49
12:31:01 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
12:31:01 PM       5      1.01      0.00      0.00      0.00      0.00     98.99
12:31:01 PM       6      0.00      0.00     79.35      0.00      0.00     20.65
12:31:01 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
12:31:01 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
12:31:01 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
12:31:01 PM      10      0.99      0.00      0.00      0.00      0.00     99.01
12:31:01 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
12:31:01 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
12:31:01 PM      13      1.00      0.00      1.00      0.00      0.00     98.00
12:31:01 PM      14      0.00      0.00      1.52      0.00      0.00     98.48
12:31:01 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
12:31:01 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
12:31:01 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
12:31:01 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
12:31:01 PM      19      1.00      0.00      3.00      0.00      0.00     96.00
12:31:01 PM      20      0.99      0.00      0.99      0.00      0.00     98.02
12:31:01 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
12:31:01 PM      22      0.00      0.00      0.99      0.00      0.00     99.01
12:31:01 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

12:31:01 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:31:02 PM     all      0.40      0.00      2.43      0.00      0.00     97.17
12:31:02 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
12:31:02 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
12:31:02 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
12:31:02 PM       3      0.00      0.00     63.08      0.00      0.00     36.92
12:31:02 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
12:31:02 PM       5      0.00      0.00      0.99      0.00      0.00     99.01
12:31:02 PM       6      0.00      0.00      8.33      0.00      0.00     91.67
12:31:02 PM       7      1.00      0.00      0.00      0.00      0.00     99.00
12:31:02 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
12:31:02 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
12:31:02 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
12:31:02 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
12:31:02 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
12:31:02 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
12:31:02 PM      14      0.00      0.00      2.38      0.00      0.00     97.62
12:31:02 PM      15      0.00      0.00      1.12      0.00      0.00     98.88
12:31:02 PM      16      0.00      0.00      0.99      0.00      0.00     99.01
12:31:02 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
12:31:02 PM      18      1.00      0.00      1.00      0.00      0.00     98.00
12:31:02 PM      19      1.98      0.00      2.97      0.00      0.00     95.05
12:31:02 PM      20      3.06      0.00      1.02      0.00      0.00     95.92
12:31:02 PM      21      0.00      0.00      1.00      0.00      0.00     99.00
12:31:02 PM      22      1.01      0.00      0.00      0.00      0.00     98.99
12:31:02 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

12:31:02 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:31:03 PM     all      0.35      0.00      0.49      0.00      0.00     99.16
12:31:03 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
12:31:03 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
12:31:03 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
12:31:03 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
12:31:03 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
12:31:03 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
12:31:03 PM       6      1.75      0.00      7.02      0.00      0.00     91.23
12:31:03 PM       7      1.00      0.00      1.00      0.00      0.00     98.00
12:31:03 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
12:31:03 PM       9      0.00      0.00      0.99      0.00      0.00     99.01
12:31:03 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
12:31:03 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
12:31:03 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
12:31:03 PM      13      0.00      0.00      1.01      0.00      0.00     98.99
12:31:03 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
12:31:03 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
12:31:03 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
12:31:03 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
12:31:03 PM      18      0.99      0.00      0.99      0.00      0.00     98.02
12:31:03 PM      19      1.01      0.00      1.01      0.00      0.00     97.98
12:31:03 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
12:31:03 PM      21      1.00      0.00      0.00      0.00      0.00     99.00
12:31:03 PM      22      0.00      0.00      0.99      0.00      0.00     99.01
12:31:03 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

12:31:03 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:31:04 PM     all      0.45      0.00      0.45      0.00      0.00     99.11
12:31:04 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
12:31:04 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
12:31:04 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
12:31:04 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
12:31:04 PM       4      0.00      0.00      0.99      0.00      0.00     99.01
12:31:04 PM       5      0.99      0.00      0.00      0.00      0.00     99.01
12:31:04 PM       6      0.00      0.00      4.17      0.00      0.00     95.83
12:31:04 PM       7      1.01      0.00      0.00      0.00      0.00     98.99
12:31:04 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
12:31:04 PM       9      1.01      0.00      0.00      0.00      0.00     98.99
12:31:04 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
12:31:04 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
12:31:04 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
12:31:04 PM      13      0.99      0.00      0.99      0.00      0.00     98.02
12:31:04 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
12:31:04 PM      15      1.08      0.00      0.00      0.00      0.00     98.92
12:31:04 PM      16      0.99      0.00      0.99      0.00      0.00     98.02
12:31:04 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
12:31:04 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
12:31:04 PM      19      2.97      0.00      2.97      0.00      0.00     94.06
12:31:04 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
12:31:04 PM      21      3.00      0.00      1.00      0.00      0.00     96.00
12:31:04 PM      22      1.01      0.00      0.00      0.00      0.00     98.99
12:31:04 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

12:31:04 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:31:05 PM     all      0.22      0.00      0.54      0.00      0.00     99.24
12:31:05 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
12:31:05 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
12:31:05 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
12:31:05 PM       3      0.00      0.00      2.04      0.00      0.00     97.96
12:31:05 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
12:31:05 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
12:31:05 PM       6      0.00      0.00      9.62      0.00      0.00     90.38
12:31:05 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
12:31:05 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
12:31:05 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
12:31:05 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
12:31:05 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
12:31:05 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
12:31:05 PM      13      1.00      0.00      1.00      0.00      0.00     98.00
12:31:05 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
12:31:05 PM      15      0.00      0.00      1.08      0.00      0.00     98.92
12:31:05 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
12:31:05 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
12:31:05 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
12:31:05 PM      19      1.01      0.00      2.02      0.00      0.00     96.97
12:31:05 PM      20      0.99      0.00      0.99      0.00      0.00     98.02
12:31:05 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
12:31:05 PM      22      1.00      0.00      1.00      0.00      0.00     98.00
12:31:05 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

12:31:05 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:31:06 PM     all      0.45      0.00      1.07      0.04      0.00     98.43
12:31:06 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
12:31:06 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
12:31:06 PM       2      0.99      0.00      0.99      0.99      0.00     97.03
12:31:06 PM       3      2.13      0.00      4.26      0.00      0.00     93.62
12:31:06 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
12:31:06 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
