13:12:53.335015 a0:36:9f:09:2c:20 > a0:36:9f:07:23:80, IPv4, length 64424: 10.10.10.25.58536 > 10.10.10.23.4789: UDP, length 64382
13:12:53.335060 a0:36:9f:09:2c:20 > a0:36:9f:07:23:80, IPv4, length 64424: 10.10.10.25.58536 > 10.10.10.23.4789: UDP, length 64382
13:12:53.335094 a0:36:9f:09:2c:20 > a0:36:9f:07:23:80, IPv4, length 64424: 10.10.10.25.58536 > 10.10.10.23.4789: UDP, length 64382
13:12:53.335140 a0:36:9f:09:2c:20 > a0:36:9f:07:23:80, IPv4, length 63026: 10.10.10.25.58536 > 10.10.10.23.4789: UDP, length 62984
13:12:53.335209 a0:36:9f:09:2c:20 > a0:36:9f:07:23:80, IPv4, length 64424: 10.10.10.25.58536 > 10.10.10.23.4789: UDP, length 64382
13:12:53.335222 a0:36:9f:09:2c:20 > a0:36:9f:07:23:80, IPv4, length 18290: 10.10.10.25.58536 > 10.10.10.23.4789: UDP, length 18248
13:12:53.335421 a0:36:9f:07:23:80 > a0:36:9f:09:2c:20, IPv4, length 116: 10.10.10.23.40254 > 10.10.10.25.4789: UDP, length 74
13:12:53.335348 a0:36:9f:09:2c:20 > a0:36:9f:07:23:80, IPv4, length 64424: 10.10.10.25.58536 > 10.10.10.23.4789: UDP, length 64382
13:12:53.335400 a0:36:9f:09:2c:20 > a0:36:9f:07:23:80, IPv4, length 64424: 10.10.10.25.58536 > 10.10.10.23.4789: UDP, length 64382
13:12:53.335542 a0:36:9f:07:23:80 > a0:36:9f:09:2c:20, IPv4, length 116: 10.10.10.23.40254 > 10.10.10.25.4789: UDP, length 74
13:12:53.335548 a0:36:9f:07:23:80 > a0:36:9f:09:2c:20, IPv4, length 116: 10.10.10.23.40254 > 10.10.10.25.4789: UDP, length 74
13:12:53.335451 a0:36:9f:09:2c:20 > a0:36:9f:07:23:80, IPv4, length 64424: 10.10.10.25.58536 > 10.10.10.23.4789: UDP, length 64382
13:12:53.335552 a0:36:9f:07:23:80 > a0:36:9f:09:2c:20, IPv4, length 116: 10.10.10.23.40254 > 10.10.10.25.4789: UDP, length 74
13:12:53.335557 a0:36:9f:07:23:80 > a0:36:9f:09:2c:20, IPv4, length 116: 10.10.10.23.40254 > 10.10.10.25.4789: UDP, length 74
13:12:53.335562 a0:36:9f:07:23:80 > a0:36:9f:09:2c:20, IPv4, length 116: 10.10.10.23.40254 > 10.10.10.25.4789: UDP, length 74
13:12:53.335567 a0:36:9f:07:23:80 > a0:36:9f:09:2c:20, IPv4, length 116: 10.10.10.23.40254 > 10.10.10.25.4789: UDP, length 74
13:12:53.335572 a0:36:9f:07:23:80 > a0:36:9f:09:2c:20, IPv4, length 116: 10.10.10.23.40254 > 10.10.10.25.4789: UDP, length 74
13:12:53.335577 a0:36:9f:07:23:80 > a0:36:9f:09:2c:20, IPv4, length 116: 10.10.10.23.40254 > 10.10.10.25.4789: UDP, length 74
13:12:53.335502 a0:36:9f:09:2c:20 > a0:36:9f:07:23:80, IPv4, length 64424: 10.10.10.25.58536 > 10.10.10.23.4789: UDP, length 64382
13:12:53.335539 a0:36:9f:09:2c:20 > a0:36:9f:07:23:80, IPv4, length 64424: 10.10.10.25.58536 > 10.10.10.23.4789: UDP, length 64382
13:12:53.335656 a0:36:9f:07:23:80 > a0:36:9f:09:2c:20, IPv4, length 116: 10.10.10.23.40254 > 10.10.10.25.4789: UDP, length 74
13:12:53.335662 a0:36:9f:07:23:80 > a0:36:9f:09:2c:20, IPv4, length 116: 10.10.10.23.40254 > 10.10.10.25.4789: UDP, length 74
13:12:53.335667 a0:36:9f:07:23:80 > a0:36:9f:09:2c:20, IPv4, length 116: 10.10.10.23.40254 > 10.10.10.25.4789: UDP, length 74
13:12:53.335546 a0:36:9f:09:2c:20 > a0:36:9f:07:23:80, IPv4, length 14096: 10.10.10.25.58536 > 10.10.10.23.4789: UDP, length 14054
13:12:53.335606 a0:36:9f:09:2c:20 > a0:36:9f:07:23:80, IPv4, length 64424: 10.10.10.25.58536 > 10.10.10.23.4789: UDP, length 64382
13:12:53.335612 a0:36:9f:09:2c:20 > a0:36:9f:07:23:80, IPv4, length 7106: 10.10.10.25.58536 > 10.10.10.23.4789: UDP, length 7064
13:12:53.335801 a0:36:9f:07:23:80 > a0:36:9f:09:2c:20, IPv4, length 116: 10.10.10.23.40254 > 10.10.10.25.4789: UDP, length 74
13:12:53.335807 a0:36:9f:07:23:80 > a0:36:9f:09:2c:20, IPv4, length 116: 10.10.10.23.40254 > 10.10.10.25.4789: UDP, length 74
13:12:53.335812 a0:36:9f:07:23:80 > a0:36:9f:09:2c:20, IPv4, length 116: 10.10.10.23.40254 > 10.10.10.25.4789: UDP, length 74
13:12:53.335817 a0:36:9f:07:23:80 > a0:36:9f:09:2c:20, IPv4, length 116: 10.10.10.23.40254 > 10.10.10.25.4789: UDP, length 74
13:12:53.335821 a0:36:9f:07:23:80 > a0:36:9f:09:2c:20, IPv4, length 116: 10.10.10.23.40254 > 10.10.10.25.4789: UDP, length 74
