Linux 3.10.0-229.el7.x86_64 (rhel7-23.in.ibm.com) 	11/14/2015 	_x86_64_	(24 CPU)

09:11:23 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:11:24 PM     all      0.25      0.00      0.21      0.00      0.00     99.54
09:11:24 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
09:11:24 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
09:11:24 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
09:11:24 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
09:11:24 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
09:11:24 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
09:11:24 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
09:11:24 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
09:11:24 PM       8      0.99      0.00      0.99      0.00      0.00     98.02
09:11:24 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
09:11:24 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
09:11:24 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
09:11:24 PM      12      1.00      0.00      0.00      0.00      0.00     99.00
09:11:24 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
09:11:24 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
09:11:24 PM      15      0.98      0.00      0.98      0.00      0.00     98.04
09:11:24 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
09:11:24 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
09:11:24 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
09:11:24 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
09:11:24 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
09:11:24 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
09:11:24 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
09:11:24 PM      23      2.00      0.00      4.00      0.00      0.00     94.00

09:11:24 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:11:25 PM     all      0.33      0.00      0.46      0.00      0.00     99.21
09:11:25 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
09:11:25 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
09:11:25 PM       2      0.00      0.00      1.00      0.00      0.00     99.00
09:11:25 PM       3      0.99      0.00      0.99      0.00      0.00     98.02
09:11:25 PM       4      0.00      0.00      0.99      0.00      0.00     99.01
09:11:25 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
09:11:25 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
09:11:25 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
09:11:25 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
09:11:25 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
09:11:25 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
09:11:25 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
09:11:25 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
09:11:25 PM      13      3.00      0.00      5.00      0.00      0.00     92.00
09:11:25 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
09:11:25 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
09:11:25 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
09:11:25 PM      17      1.00      0.00      0.00      0.00      0.00     99.00
09:11:25 PM      18      0.99      0.00      0.00      0.00      0.00     99.01
09:11:25 PM      19      1.00      0.00      1.00      0.00      0.00     98.00
09:11:25 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
09:11:25 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
09:11:25 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
09:11:25 PM      23      1.00      0.00      2.00      0.00      0.00     97.00

09:11:25 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:11:26 PM     all      0.29      0.00      0.21      0.00      0.00     99.50
09:11:26 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
09:11:26 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
09:11:26 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
09:11:26 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
09:11:26 PM       4      1.00      0.00      0.00      0.00      0.00     99.00
