Linux 3.10.0-229.el7.x86_64 (rhel7-30.in.ibm.com) 	11/17/2015 	_x86_64_	(24 CPU)

04:30:40 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:30:41 PM     all      2.10      0.00      2.27      0.00      0.00     95.63
04:30:41 PM       0      3.03      0.00      2.02      0.00      0.00     94.95
04:30:41 PM       1      4.04      0.00      3.03      0.00      0.00     92.93
04:30:41 PM       2      2.00      0.00      2.00      0.00      0.00     96.00
04:30:41 PM       3      5.10      0.00      3.06      0.00      0.00     91.84
04:30:41 PM       4      4.08      0.00      3.06      0.00      0.00     92.86
04:30:41 PM       5      2.04      0.00      3.06      0.00      0.00     94.90
04:30:41 PM       6      2.00      0.00      3.00      0.00      0.00     95.00
04:30:41 PM       7      2.00      0.00      2.00      0.00      0.00     96.00
04:30:41 PM       8      4.08      0.00      3.06      0.00      0.00     92.86
04:30:41 PM       9      2.02      0.00      3.03      0.00      0.00     94.95
04:30:41 PM      10      3.03      0.00      3.03      0.00      0.00     93.94
04:30:41 PM      11      2.02      0.00      2.02      0.00      0.00     95.96
04:30:41 PM      12      2.00      0.00      2.00      0.00      0.00     96.00
04:30:41 PM      13      0.00      0.00      1.98      0.00      0.00     97.03
04:30:41 PM      14      2.00      0.00      2.00      0.00      0.00     96.00
04:30:41 PM      15      3.96      0.00      1.98      0.00      0.00     94.06
04:30:41 PM      16      1.02      0.00      1.02      0.00      0.00     97.96
04:30:41 PM      17      1.00      0.00      2.00      0.00      0.00     97.00
04:30:41 PM      18      1.01      0.00      2.02      0.00      0.00     96.97
04:30:41 PM      19      1.98      0.00      1.98      0.00      0.00     96.04
04:30:41 PM      20      1.00      0.00      1.00      0.00      0.00     98.00
04:30:41 PM      21      1.00      0.00      0.00      0.00      0.00     99.00
04:30:41 PM      22      3.00      0.00      5.00      0.00      0.00     92.00
04:30:41 PM      23      1.01      0.00      1.01      0.00      0.00     97.98

04:30:41 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:30:42 PM     all      1.60      0.00      1.81      0.00      0.00     96.59
04:30:42 PM       0      2.04      0.00      1.02      0.00      0.00     96.94
04:30:42 PM       1      2.04      0.00      2.04      0.00      0.00     95.92
04:30:42 PM       2      1.01      0.00      1.01      0.00      0.00     97.98
04:30:42 PM       3      2.00      0.00      2.00      0.00      0.00     96.00
04:30:42 PM       4      2.04      0.00      2.04      0.00      0.00     95.92
04:30:42 PM       5      3.06      0.00      2.04      0.00      0.00     94.90
04:30:42 PM       6      1.02      0.00      1.02      0.00      0.00     97.96
04:30:42 PM       7      1.01      0.00      2.02      0.00      0.00     96.97
04:30:42 PM       8      1.00      0.00      1.00      0.00      0.00     98.00
04:30:42 PM       9      1.02      0.00      2.04      0.00      0.00     96.94
04:30:42 PM      10      2.04      0.00      3.06      0.00      0.00     94.90
04:30:42 PM      11      1.00      0.00      1.00      0.00      0.00     98.00
04:30:42 PM      12      1.03      0.00      1.03      0.00      0.00     97.94
04:30:42 PM      13      2.02      0.00      3.03      0.00      0.00     94.95
04:30:42 PM      14      2.04      0.00      2.04      0.00      0.00     95.92
04:30:42 PM      15      1.01      0.00      1.01      0.00      0.00     97.98
04:30:42 PM      16      1.02      0.00      1.02      0.00      0.00     97.96
04:30:42 PM      17      2.00      0.00      2.00      0.00      0.00     96.00
04:30:42 PM      18      1.01      0.00      1.01      0.00      0.00     97.98
04:30:42 PM      19      2.02      0.00      2.02      0.00      0.00     95.96
04:30:42 PM      20      2.00      0.00      2.00      0.00      0.00     96.00
04:30:42 PM      21      1.00      0.00      3.00      0.00      0.00     96.00
04:30:42 PM      22      1.98      0.00      1.98      0.00      0.00     96.04
04:30:42 PM      23      2.02      0.00      2.02      0.00      0.00     95.96

04:30:42 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:30:43 PM     all      2.32      0.00      2.11      0.00      0.00     95.58
04:30:43 PM       0      1.01      0.00      3.03      0.00      0.00     95.96
04:30:43 PM       1      2.00      0.00      3.00      0.00      0.00     95.00
04:30:43 PM       2      5.10      0.00      2.04      0.00      0.00     92.86
04:30:43 PM       3      2.04      0.00      3.06      0.00      0.00     94.90
04:30:43 PM       4      2.04      0.00      2.04      0.00      0.00     95.92
04:30:43 PM       5      1.02      0.00      2.04      0.00      0.00     96.94
04:30:43 PM       6      3.00      0.00      3.00      0.00      0.00     94.00
04:30:43 PM       7      3.03      0.00      2.02      0.00      0.00     94.95
04:30:43 PM       8      4.04      0.00      4.04      0.00      0.00     91.92
04:30:43 PM       9      3.03      0.00      2.02      0.00      0.00     94.95
04:30:43 PM      10      2.02      0.00      3.03      0.00      0.00     94.95
04:30:43 PM      11      3.03      0.00      2.02      0.00      0.00     94.95
04:30:43 PM      12      3.00      0.00      2.00      0.00      0.00     95.00
04:30:43 PM      13      2.04      0.00      2.04      0.00      0.00     95.92
04:30:43 PM      14      5.05      0.00      1.01      0.00      0.00     93.94
04:30:43 PM      15      2.04      0.00      1.02      0.00      0.00     96.94
04:30:43 PM      16      2.00      0.00      2.00      0.00      0.00     96.00
04:30:43 PM      17      1.02      0.00      2.04      0.00      0.00     96.94
04:30:43 PM      18      2.02      0.00      2.02      0.00      0.00     95.96
04:30:43 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
04:30:43 PM      20      1.01      0.00      2.02      0.00      0.00     96.97
04:30:43 PM      21      4.00      0.00      1.00      0.00      0.00     95.00
04:30:43 PM      22      1.01      0.00      2.02      0.00      0.00     96.97
04:30:43 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

04:30:43 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:30:44 PM     all      1.81      0.00      1.81      0.00      0.00     96.38
04:30:44 PM       0      2.04      0.00      1.02      0.00      0.00     96.94
04:30:44 PM       1      2.00      0.00      1.00      0.00      0.00     97.00
04:30:44 PM       2      1.01      0.00      2.02      0.00      0.00     96.97
04:30:44 PM       3      4.08      0.00      3.06      0.00      0.00     92.86
04:30:44 PM       4      3.06      0.00      2.04      0.00      0.00     94.90
04:30:44 PM       5      3.03      0.00      3.03      0.00      0.00     93.94
04:30:44 PM       6      2.02      0.00      2.02      0.00      0.00     95.96
04:30:44 PM       7      2.02      0.00      3.03      0.00      0.00     94.95
04:30:44 PM       8      2.00      0.00      2.00      0.00      0.00     96.00
04:30:44 PM       9      1.00      0.00      2.00      0.00      0.00     97.00
04:30:44 PM      10      4.00      0.00      3.00      0.00      0.00     93.00
04:30:44 PM      11      1.98      0.00      1.98      0.00      0.00     96.04
04:30:44 PM      12      1.02      0.00      1.02      0.00      0.00     97.96
04:30:44 PM      13      1.01      0.00      2.02      0.00      0.00     96.97
04:30:44 PM      14      2.00      0.00      2.00      0.00      0.00     96.00
04:30:44 PM      15      2.00      0.00      2.00      0.00      0.00     96.00
04:30:44 PM      16      2.02      0.00      2.02      0.00      0.00     95.96
04:30:44 PM      17      2.02      0.00      1.01      0.00      0.00     96.97
04:30:44 PM      18      2.00      0.00      2.00      0.00      0.00     96.00
04:30:44 PM      19      1.00      0.00      1.00      0.00      0.00     98.00
04:30:44 PM      20      1.02      0.00      1.02      0.00      0.00     97.96
04:30:44 PM      21      0.00      0.00      3.03      0.00      0.00     96.97
04:30:44 PM      22      2.00      0.00      3.00      0.00      0.00     95.00
04:30:44 PM      23      1.00      0.00      2.00      0.00      0.00     97.00

04:30:44 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:30:45 PM     all      2.06      0.00      2.15      0.00      0.00     95.79
04:30:45 PM       0      2.02      0.00      2.02      0.00      0.00     95.96
04:30:45 PM       1      2.02      0.00      2.02      0.00      0.00     95.96
04:30:45 PM       2      2.04      0.00      1.02      0.00      0.00     96.94
04:30:45 PM       3      3.03      0.00      4.04      0.00      0.00     92.93
04:30:45 PM       4      3.06      0.00      2.04      0.00      0.00     94.90
04:30:45 PM       5      2.02      0.00      3.03      0.00      0.00     94.95
04:30:45 PM       6      3.03      0.00      3.03      0.00      0.00     93.94
04:30:45 PM       7      4.04      0.00      2.02      0.00      0.00     93.94
04:30:45 PM       8      1.01      0.00      2.02      0.00      0.00     96.97
04:30:45 PM       9      2.04      0.00      1.02      0.00      0.00     96.94
04:30:45 PM      10      3.06      0.00      3.06      0.00      0.00     93.88
04:30:45 PM      11      1.00      0.00      2.00      0.00      0.00     97.00
04:30:45 PM      12      2.02      0.00      2.02      0.00      0.00     95.96
04:30:45 PM      13      3.03      0.00      3.03      0.00      0.00     93.94
04:30:45 PM      14      2.04      0.00      1.02      0.00      0.00     96.94
04:30:45 PM      15      1.02      0.00      2.04      0.00      0.00     96.94
04:30:45 PM      16      1.02      0.00      2.04      0.00      0.00     96.94
04:30:45 PM      17      1.02      0.00      3.06      0.00      0.00     95.92
04:30:45 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
04:30:45 PM      19      3.03      0.00      2.02      0.00      0.00     94.95
04:30:45 PM      20      3.00      0.00      3.00      0.00      0.00     94.00
04:30:45 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
04:30:45 PM      22      2.00      0.00      1.00      0.00      0.00     97.00
04:30:45 PM      23      1.01      0.00      2.02      0.00      0.00     96.97

04:30:45 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:30:46 PM     all      1.90      0.00      1.94      0.04      0.00     96.11
04:30:46 PM       0      2.04      0.00      2.04      0.00      0.00     95.92
04:30:46 PM       1      2.04      0.00      2.04      0.00      0.00     95.92
04:30:46 PM       2      1.03      0.00      2.06      0.00      0.00     96.91
04:30:46 PM       3      2.04      0.00      3.06      0.00      0.00     94.90
04:30:46 PM       4      1.03      0.00      2.06      0.00      0.00     96.91
04:30:46 PM       5      2.04      0.00      2.04      0.00      0.00     95.92
04:30:46 PM       6      3.03      0.00      3.03      0.00      0.00     93.94
04:30:46 PM       7      2.04      0.00      2.04      0.00      0.00     95.92
04:30:46 PM       8      2.02      0.00      1.01      0.00      0.00     96.97
04:30:46 PM       9      2.00      0.00      3.00      0.00      0.00     95.00
04:30:46 PM      10      4.00      0.00      3.00      0.00      0.00     93.00
04:30:46 PM      11      2.02      0.00      0.00      0.00      0.00     97.98
04:30:46 PM      12      2.06      0.00      1.03      0.00      0.00     96.91
04:30:46 PM      13      2.04      0.00      2.04      0.00      0.00     95.92
04:30:46 PM      14      1.03      0.00      2.06      0.00      0.00     96.91
04:30:46 PM      15      2.04      0.00      2.04      0.00      0.00     95.92
04:30:46 PM      16      2.06      0.00      2.06      0.00      0.00     95.88
04:30:46 PM      17      2.06      0.00      2.06      1.03      0.00     94.85
04:30:46 PM      18      0.00      0.00      1.01      0.00      0.00     98.99
04:30:46 PM      19      0.99      0.00      1.98      0.00      0.00     97.03
04:30:46 PM      20      2.02      0.00      2.02      0.00      0.00     95.96
04:30:46 PM      21      1.00      0.00      0.00      0.00      0.00     99.00
04:30:46 PM      22      3.00      0.00      3.00      0.00      0.00     94.00
04:30:46 PM      23      2.04      0.00      1.02      0.00      0.00     96.94

04:30:46 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:30:47 PM     all      1.94      0.00      2.11      0.08      0.00     95.87
04:30:47 PM       0      2.04      0.00      3.06      0.00      0.00     94.90
04:30:47 PM       1      2.06      0.00      1.03      0.00      0.00     96.91
04:30:47 PM       2      2.00      0.00      3.00      0.00      0.00     95.00
04:30:47 PM       3      3.00      0.00      2.00      0.00      0.00     95.00
04:30:47 PM       4      2.04      0.00      2.04      0.00      0.00     95.92
04:30:47 PM       5      2.04      0.00      2.04      0.00      0.00     95.92
04:30:47 PM       6      2.02      0.00      3.03      0.00      0.00     94.95
04:30:47 PM       7      2.00      0.00      2.00      0.00      0.00     96.00
04:30:47 PM       8      2.00      0.00      2.00      1.00      0.00     95.00
04:30:47 PM       9      2.02      0.00      1.01      2.02      0.00     94.95
04:30:47 PM      10      2.04      0.00      4.08      0.00      0.00     93.88
04:30:47 PM      11      3.00      0.00      3.00      0.00      0.00     94.00
04:30:47 PM      12      3.03      0.00      3.03      0.00      0.00     93.94
04:30:47 PM      13      3.03      0.00      3.03      0.00      0.00     93.94
04:30:47 PM      14      3.06      0.00      2.04      0.00      0.00     94.90
04:30:47 PM      15      2.04      0.00      2.04      0.00      0.00     95.92
04:30:47 PM      16      2.02      0.00      3.03      0.00      0.00     94.95
04:30:47 PM      17      2.02      0.00      3.03      0.00      0.00     94.95
04:30:47 PM      18      2.02      0.00      1.01      0.00      0.00     96.97
04:30:47 PM      19      4.00      0.00      1.00      0.00      0.00     95.00
04:30:47 PM      20      1.01      0.00      1.01      0.00      0.00     97.98
04:30:47 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
04:30:47 PM      22      1.01      0.00      1.01      0.00      0.00     97.98
04:30:47 PM      23      0.99      0.00      0.00      0.00      0.00     99.01

04:30:47 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:30:48 PM     all      1.72      0.00      1.77      0.00      0.00     96.51
04:30:48 PM       0      2.02      0.00      3.03      0.00      0.00     94.95
04:30:48 PM       1      3.03      0.00      2.02      0.00      0.00     94.95
04:30:48 PM       2      2.04      0.00      2.04      0.00      0.00     95.92
04:30:48 PM       3      2.04      0.00      2.04      0.00      0.00     95.92
04:30:48 PM       4      3.00      0.00      3.00      0.00      0.00     94.00
04:30:48 PM       5      3.03      0.00      2.02      0.00      0.00     94.95
04:30:48 PM       6      1.01      0.00      2.02      0.00      0.00     96.97
04:30:48 PM       7      2.04      0.00      2.04      0.00      0.00     95.92
04:30:48 PM       8      2.02      0.00      2.02      0.00      0.00     95.96
04:30:48 PM       9      3.06      0.00      3.06      0.00      0.00     93.88
04:30:48 PM      10      2.02      0.00      3.03      0.00      0.00     94.95
04:30:48 PM      11      2.00      0.00      2.00      0.00      0.00     96.00
04:30:48 PM      12      1.02      0.00      1.02      0.00      0.00     97.96
04:30:48 PM      13      2.04      0.00      1.02      0.00      0.00     96.94
04:30:48 PM      14      1.01      0.00      2.02      0.00      0.00     96.97
04:30:48 PM      15      1.02      0.00      2.04      0.00      0.00     96.94
04:30:48 PM      16      2.02      0.00      2.02      0.00      0.00     95.96
04:30:48 PM      17      2.02      0.00      1.01      0.00      0.00     96.97
04:30:48 PM      18      0.99      0.00      2.97      0.00      0.00     96.04
04:30:48 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
04:30:48 PM      20      2.00      0.00      2.00      0.00      0.00     96.00
04:30:48 PM      21      0.00      0.00      0.99      0.00      0.00     99.01
04:30:48 PM      22      1.01      0.00      2.02      0.00      0.00     96.97
04:30:48 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

04:30:48 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:30:49 PM     all      1.93      0.00      2.06      0.04      0.00     95.96
04:30:49 PM       0      2.04      0.00      2.04      0.00      0.00     95.92
04:30:49 PM       1      2.00      0.00      3.00      0.00      0.00     95.00
04:30:49 PM       2      4.08      0.00      4.08      0.00      0.00     91.84
04:30:49 PM       3      3.03      0.00      1.01      0.00      0.00     95.96
04:30:49 PM       4      1.00      0.00      2.00      0.00      0.00     97.00
04:30:49 PM       5      3.06      0.00      3.06      0.00      0.00     93.88
04:30:49 PM       6      2.02      0.00      3.03      0.00      0.00     94.95
04:30:49 PM       7      2.00      0.00      3.00      0.00      0.00     95.00
04:30:49 PM       8      4.04      0.00      3.03      0.00      0.00     92.93
04:30:49 PM       9      3.00      0.00      4.00      0.00      0.00     93.00
04:30:49 PM      10      2.02      0.00      2.02      0.00      0.00     95.96
04:30:49 PM      11      2.04      0.00      2.04      0.00      0.00     95.92
04:30:49 PM      12      1.00      0.00      1.00      1.00      0.00     97.00
04:30:49 PM      13      1.00      0.00      2.00      0.00      0.00     97.00
04:30:49 PM      14      1.00      0.00      1.00      0.00      0.00     98.00
04:30:49 PM      15      1.01      0.00      1.01      0.00      0.00     97.98
04:30:49 PM      16      1.02      0.00      1.02      0.00      0.00     97.96
04:30:49 PM      17      2.06      0.00      2.06      0.00      0.00     95.88
04:30:49 PM      18      1.01      0.00      0.00      0.00      0.00     98.99
04:30:49 PM      19      0.99      0.00      0.99      0.00      0.00     98.02
04:30:49 PM      20      4.00      0.00      2.00      0.00      0.00     94.00
04:30:49 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
04:30:49 PM      22      1.01      0.00      2.02      0.00      0.00     96.97
04:30:49 PM      23      0.00      0.00      1.01      0.00      0.00     98.99

04:30:49 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:30:50 PM     all      1.76      0.00      1.85      0.00      0.00     96.39
04:30:50 PM       0      3.03      0.00      2.02      0.00      0.00     94.95
04:30:50 PM       1      3.06      0.00      3.06      0.00      0.00     93.88
04:30:50 PM       2      3.03      0.00      4.04      0.00      0.00     92.93
04:30:50 PM       3      2.00      0.00      3.00      0.00      0.00     95.00
04:30:50 PM       4      3.06      0.00      4.08      0.00      0.00     92.86
04:30:50 PM       5      3.06      0.00      4.08      0.00      0.00     92.86
04:30:50 PM       6      2.02      0.00      2.02      0.00      0.00     95.96
04:30:50 PM       7      2.02      0.00      2.02      0.00      0.00     95.96
04:30:50 PM       8      2.04      0.00      2.04      0.00      0.00     95.92
04:30:50 PM       9      2.04      0.00      2.04      0.00      0.00     95.92
04:30:50 PM      10      2.02      0.00      3.03      0.00      0.00     94.95
04:30:50 PM      11      3.03      0.00      3.03      0.00      0.00     93.94
04:30:50 PM      12      1.00      0.00      1.00      0.00      0.00     98.00
04:30:50 PM      13      0.00      0.00      1.01      0.00      0.00     98.99
04:30:50 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
04:30:50 PM      15      1.98      0.00      0.99      0.00      0.00     97.03
04:30:50 PM      16      2.00      0.00      2.00      0.00      0.00     96.00
04:30:50 PM      17      2.00      0.00      2.00      0.00      0.00     96.00
04:30:50 PM      18      1.01      0.00      2.02      0.00      0.00     96.97
04:30:50 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
04:30:50 PM      20      2.00      0.00      2.00      0.00      0.00     96.00
04:30:50 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
04:30:50 PM      22      2.02      0.00      1.01      0.00      0.00     96.97
04:30:50 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

04:30:50 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:30:51 PM     all      3.21      0.00      6.21      0.00      0.00     90.57
04:30:51 PM       0      5.05      0.00      6.06      0.00      0.00     88.89
04:30:51 PM       1      6.19      0.00      7.22      0.00      0.00     86.60
04:30:51 PM       2      5.21      0.00      6.25      0.00      0.00     88.54
04:30:51 PM       3      4.08      0.00      6.12      0.00      0.00     89.80
04:30:51 PM       4      5.21      0.00     10.42      0.00      0.00     84.38
04:30:51 PM       5      5.05      0.00      8.08      0.00      0.00     86.87
04:30:51 PM       6      5.05      0.00      7.07      0.00      0.00     87.88
04:30:51 PM       7      4.08      0.00      5.10      0.00      0.00     90.82
04:30:51 PM       8      5.05      0.00      5.05      0.00      0.00     89.90
04:30:51 PM       9      3.06      0.00      5.10      0.00      0.00     91.84
04:30:51 PM      10      4.04      0.00      5.05      0.00      0.00     90.91
04:30:51 PM      11      2.00      0.00      4.00      0.00      0.00     94.00
04:30:51 PM      12      1.00      0.00      4.00      0.00      0.00     95.00
04:30:51 PM      13      2.02      0.00      4.04      0.00      0.00     93.94
04:30:51 PM      14      1.01      0.00      2.02      0.00      0.00     96.97
04:30:51 PM      15      2.00      0.00      3.00      0.00      0.00     95.00
04:30:51 PM      16      3.00      0.00      3.00      0.00      0.00     94.00
04:30:51 PM      17      1.01      0.00      6.06      0.00      0.00     92.93
04:30:51 PM      18      4.00      0.00      2.00      0.00      0.00     94.00
04:30:51 PM      19      2.00      0.00      2.00      0.00      0.00     96.00
04:30:51 PM      20      4.08      0.00      8.16      0.00      0.00     87.76
04:30:51 PM      21      1.00      0.00      1.00      0.00      0.00     98.00
04:30:51 PM      22      2.00      0.00      2.00      0.00      0.00     96.00
04:30:51 PM      23      1.00      0.00     38.00      0.00      0.00     61.00

04:30:51 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:30:52 PM     all      6.54      0.00     13.16      0.00      0.00     80.31
04:30:52 PM       0      9.38      0.00     14.58      0.00      0.00     76.04
04:30:52 PM       1     11.22      0.00     14.29      0.00      0.00     74.49
04:30:52 PM       2     10.42      0.00     13.54      0.00      0.00     76.04
04:30:52 PM       3     10.10      0.00     15.15      0.00      0.00     74.75
04:30:52 PM       4     12.22      0.00     16.67      0.00      0.00     71.11
04:30:52 PM       5      8.42      0.00     13.68      0.00      0.00     77.89
04:30:52 PM       6      8.25      0.00     13.40      0.00      0.00     78.35
04:30:52 PM       7      9.00      0.00     13.00      0.00      0.00     78.00
04:30:52 PM       8      8.16      0.00     12.24      0.00      0.00     79.59
04:30:52 PM       9      9.09      0.00     12.12      0.00      0.00     78.79
04:30:52 PM      10     11.11      0.00     10.10      0.00      0.00     78.79
04:30:52 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
04:30:52 PM      12      4.17      0.00      5.21      0.00      0.00     90.62
