Linux 3.10.0-229.el7.x86_64 (rhel7-30.in.ibm.com) 	11/14/2015 	_x86_64_	(24 CPU)

09:38:26 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:38:27 PM     all      3.32      0.00      2.31      0.42      0.00     93.95
09:38:27 PM       0     22.45      0.00      0.00      0.00      0.00     77.55
09:38:27 PM       1      2.00      0.00      4.00      0.00      0.00     94.00
09:38:27 PM       2      2.97      0.00      1.98      0.99      0.00     94.06
09:38:27 PM       3      3.09      0.00      3.09      0.00      0.00     93.81
09:38:27 PM       4      4.00      0.00      3.00      0.00      0.00     93.00
09:38:27 PM       5      5.05      0.00      1.01      0.00      0.00     93.94
09:38:27 PM       6      6.12      0.00      3.06      0.00      0.00     90.82
09:38:27 PM       7      5.10      0.00      4.08      0.00      0.00     90.82
09:38:27 PM       8      3.00      0.00      4.00      0.00      0.00     93.00
09:38:27 PM       9      2.02      0.00      2.02      0.00      0.00     95.96
09:38:27 PM      10      4.08      0.00      3.06      0.00      0.00     92.86
09:38:27 PM      11      2.04      0.00      3.06      0.00      0.00     94.90
09:38:27 PM      12      0.99      0.00      0.00      0.00      0.00     99.01
09:38:27 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
09:38:27 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
09:38:27 PM      15      2.00      0.00      2.00      0.00      0.00     96.00
09:38:27 PM      16      1.01      0.00      1.01      0.00      0.00     97.98
09:38:27 PM      17      0.00      0.00      0.00      9.00      0.00     91.00
09:38:27 PM      18      5.10      0.00      2.04      0.00      0.00     92.86
09:38:27 PM      19      4.00      0.00      9.00      0.00      0.00     87.00
09:38:27 PM      20      1.02      0.00      2.04      0.00      0.00     96.94
09:38:27 PM      21      2.02      0.00      2.02      0.00      0.00     95.96
09:38:27 PM      22      1.01      0.00      2.02      0.00      0.00     96.97
09:38:27 PM      23      1.01      0.00      2.02      0.00      0.00     96.97

09:38:27 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:38:28 PM     all      3.23      0.00      1.76      0.25      0.00     94.75
09:38:28 PM       0      3.03      0.00      1.01      1.01      0.00     94.95
09:38:28 PM       1      4.04      0.00      3.03      0.00      0.00     92.93
09:38:28 PM       2      1.02      0.00      3.06      0.00      0.00     95.92
09:38:28 PM       3      2.97      0.00      3.96      0.99      0.00     92.08
09:38:28 PM       4      2.04      0.00      3.06      0.00      0.00     94.90
09:38:28 PM       5     21.43      0.00      2.04      0.00      0.00     76.53
09:38:28 PM       6      3.06      0.00      3.06      0.00      0.00     93.88
09:38:28 PM       7      4.08      0.00      3.06      0.00      0.00     92.86
09:38:28 PM       8      3.03      0.00      4.04      1.01      0.00     91.92
09:38:28 PM       9      3.06      0.00      3.06      0.00      0.00     93.88
09:38:28 PM      10      5.05      0.00      4.04      0.00      0.00     90.91
09:38:28 PM      11      3.00      0.00      3.00      0.00      0.00     94.00
09:38:28 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
09:38:28 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
09:38:28 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
09:38:28 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
09:38:28 PM      16      1.00      0.00      1.00      1.00      0.00     97.00
09:38:28 PM      17      0.00      0.00      1.00      3.00      0.00     96.00
09:38:28 PM      18     12.87      0.00      0.00      0.00      0.00     87.13
09:38:28 PM      19      2.00      0.00      2.00      0.00      0.00     96.00
09:38:28 PM      20      1.01      0.00      1.01      0.00      0.00     97.98
09:38:28 PM      21      1.01      0.00      0.00      0.00      0.00     98.99
09:38:28 PM      22      1.01      0.00      0.00      1.01      0.00     97.98
09:38:28 PM      23      1.01      0.00      2.02      0.00      0.00     96.97

09:38:28 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:38:29 PM     all      4.08      0.00      1.94      0.29      0.00     93.69
09:38:29 PM       0     18.37      0.00      2.04      0.00      0.00     79.59
09:38:29 PM       1      2.04      0.00      2.04      0.00      0.00     95.92
09:38:29 PM       2      3.00      0.00      3.00      0.00      0.00     94.00
09:38:29 PM       3      1.01      0.00      2.02      0.00      0.00     96.97
09:38:29 PM       4      7.00      0.00      2.00      0.00      0.00     91.00
09:38:29 PM       5      4.00      0.00      3.00      1.00      0.00     92.00
09:38:29 PM       6      3.03      0.00      1.01      0.00      0.00     95.96
09:38:29 PM       7      4.04      0.00      3.03      0.00      0.00     92.93
09:38:29 PM       8      7.07      0.00      2.02      0.00      0.00     90.91
09:38:29 PM       9      4.08      0.00      4.08      0.00      0.00     91.84
09:38:29 PM      10      4.04      0.00      2.02      0.00      0.00     93.94
09:38:29 PM      11     10.20      0.00      1.02      0.00      0.00     88.78
09:38:29 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
09:38:29 PM      13      1.00      0.00      2.00      0.00      0.00     97.00
09:38:29 PM      14      1.01      0.00      2.02      0.00      0.00     96.97
09:38:29 PM      15      1.00      0.00      0.00      0.00      0.00     99.00
09:38:29 PM      16      1.01      0.00      1.01      0.00      0.00     97.98
09:38:29 PM      17      1.01      0.00      1.01      4.04      0.00     93.94
09:38:29 PM      18      1.02      0.00      1.02      0.00      0.00     97.96
09:38:29 PM      19      3.03      0.00      3.03      0.00      0.00     93.94
09:38:29 PM      20     17.00      0.00      3.00      1.00      0.00     79.00
09:38:29 PM      21      2.02      0.00      1.01      0.00      0.00     96.97
09:38:29 PM      22      2.02      0.00      2.02      0.00      0.00     95.96
09:38:29 PM      23      5.05      0.00      1.01      0.00      0.00     93.94

09:38:29 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:38:30 PM     all      2.31      0.00      2.14      1.68      0.00     93.88
09:38:30 PM       0      3.06      0.00      3.06      0.00      0.00     93.88
09:38:30 PM       1      2.02      0.00      2.02      1.01      0.00     94.95
09:38:30 PM       2      2.04      0.00      3.06      0.00      0.00     94.90
09:38:30 PM       3      2.02      0.00      3.03      0.00      0.00     94.95
09:38:30 PM       4      1.01      0.00      2.02      0.00      0.00     96.97
09:38:30 PM       5      3.03      0.00      3.03      0.00      0.00     93.94
09:38:30 PM       6      3.06      0.00      2.04      3.06      0.00     91.84
09:38:30 PM       7      3.06      0.00      4.08      1.02      0.00     91.84
09:38:30 PM       8      2.02      0.00      3.03      1.01      0.00     93.94
09:38:30 PM       9      4.04      0.00      4.04      2.02      0.00     89.90
09:38:30 PM      10      4.00      0.00      4.00      1.00      0.00     91.00
09:38:30 PM      11     15.00      0.00      5.00      8.00      0.00     72.00
09:38:30 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
09:38:30 PM      13      1.01      0.00      1.01      0.00      0.00     97.98
09:38:30 PM      14      1.00      0.00      0.00      0.00      0.00     99.00
09:38:30 PM      15      1.00      0.00      1.00      0.00      0.00     98.00
09:38:30 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
09:38:30 PM      17      0.00      0.00      0.00      2.02      0.00     97.98
09:38:30 PM      18      2.00      0.00      2.00      1.00      0.00     95.00
09:38:30 PM      19      2.00      0.00      3.00      1.00      0.00     94.00
09:38:30 PM      20      2.02      0.00      2.02      1.01      0.00     94.95
09:38:30 PM      21      0.00      0.00      1.00      4.00      0.00     95.00
09:38:30 PM      22      0.00      0.00      1.01      6.06      0.00     92.93
09:38:30 PM      23      0.00      0.00      1.01      7.07      0.00     91.92

09:38:30 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:38:31 PM     all      4.00      0.00      2.15      5.27      0.00     88.58
09:38:31 PM       0      3.03      0.00      2.02      2.02      0.00     92.93
09:38:31 PM       1     24.24      0.00      1.01      0.00      0.00     74.75
09:38:31 PM       2      4.08      0.00      2.04      0.00      0.00     93.88
09:38:31 PM       3      3.03      0.00      3.03      0.00      0.00     93.94
09:38:31 PM       4     19.19      0.00      1.01      0.00      0.00     79.80
09:38:31 PM       5      2.06      0.00      2.06      0.00      0.00     95.88
09:38:31 PM       6      2.04      0.00      3.06      7.14      0.00     87.76
09:38:31 PM       7      2.04      0.00      2.04      8.16      0.00     87.76
09:38:31 PM       8      4.00      0.00      6.00     13.00      0.00     77.00
09:38:31 PM       9      3.06      0.00      4.08      7.14      0.00     85.71
09:38:31 PM      10     10.00      0.00      3.00      3.00      0.00     84.00
09:38:31 PM      11      2.00      0.00      3.00      6.00      0.00     89.00
09:38:31 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
09:38:31 PM      13      0.00      0.00      2.00      0.00      0.00     98.00
09:38:31 PM      14      0.99      0.00      0.99      0.00      0.00     98.02
09:38:31 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
09:38:31 PM      16      1.01      0.00      1.01      0.00      0.00     97.98
09:38:31 PM      17      0.99      0.00      0.99      8.91      0.00     89.11
09:38:31 PM      18      1.01      0.00      2.02     13.13      0.00     83.84
09:38:31 PM      19      1.02      0.00      2.04     17.35      0.00     79.59
09:38:31 PM      20      6.06      0.00      4.04      5.05      0.00     84.85
09:38:31 PM      21      2.02      0.00      2.02     12.12      0.00     83.84
09:38:31 PM      22      1.02      0.00      2.04     13.27      0.00     83.67
09:38:31 PM      23      2.02      0.00      2.02     12.12      0.00     83.84

09:38:31 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:38:32 PM     all      3.20      0.00      1.81      0.59      0.00     94.41
09:38:32 PM       0      3.03      0.00      4.04      2.02      0.00     90.91
