Linux 3.10.0-229.el7.x86_64 (rhel7-25.in.ibm.com) 	11/17/2015 	_x86_64_	(24 CPU)

01:27:33 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:27:34 PM     all      5.74      0.00      1.93      0.04      0.00     92.29
01:27:34 PM       0      3.03      0.00      2.02      0.00      0.00     94.95
01:27:34 PM       1      2.02      0.00      2.02      0.00      0.00     95.96
01:27:34 PM       2     99.00      0.00      1.00      0.00      0.00      0.00
01:27:34 PM       3      3.06      0.00      3.06      0.00      0.00     93.88
01:27:34 PM       4      2.00      0.00      3.00      0.00      0.00     95.00
01:27:34 PM       5      3.06      0.00      2.04      0.00      0.00     94.90
01:27:34 PM       6      2.02      0.00      4.04      0.00      0.00     93.94
01:27:34 PM       7      3.00      0.00      3.00      0.00      0.00     94.00
01:27:34 PM       8      3.00      0.00      2.00      0.00      0.00     95.00
01:27:34 PM       9      3.06      0.00      4.08      0.00      0.00     92.86
01:27:34 PM      10      4.08      0.00      3.06      0.00      0.00     92.86
01:27:34 PM      11      3.03      0.00      3.03      0.00      0.00     93.94
01:27:34 PM      12      1.00      0.00      2.00      0.00      0.00     97.00
01:27:34 PM      13      1.01      0.00      1.01      0.00      0.00     97.98
01:27:34 PM      14      0.00      0.00      2.02      0.00      0.00     97.98
01:27:34 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:27:34 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
01:27:34 PM      17      1.01      0.00      1.01      0.00      0.00     97.98
01:27:34 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
01:27:34 PM      19      3.00      0.00      4.00      0.00      0.00     93.00
01:27:34 PM      20      0.00      0.00      0.99      0.00      0.00     99.01
01:27:34 PM      21      1.00      0.00      1.00      0.00      0.00     98.00
01:27:34 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:27:34 PM      23      0.00      0.00      1.01      0.00      0.00     98.99

01:27:34 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:27:35 PM     all      5.77      0.00      1.46      0.33      0.00     92.43
01:27:35 PM       0      2.00      0.00      2.00      0.00      0.00     96.00
01:27:35 PM       1      2.02      0.00      3.03      0.00      0.00     94.95
01:27:35 PM       2    100.00      0.00      0.00      0.00      0.00      0.00
01:27:35 PM       3      4.12      0.00      2.06      0.00      0.00     93.81
01:27:35 PM       4      3.03      0.00      3.03      0.00      0.00     93.94
01:27:35 PM       5      2.97      0.00      1.98      0.00      0.00     95.05
01:27:35 PM       6      2.02      0.00      0.00      0.00      0.00     97.98
01:27:35 PM       7      3.03      0.00      2.02      0.00      0.00     94.95
01:27:35 PM       8      2.00      0.00      2.00      0.00      0.00     96.00
01:27:35 PM       9      2.00      0.00      2.00      0.00      0.00     96.00
01:27:35 PM      10      2.97      0.00      4.95      0.00      0.00     92.08
01:27:35 PM      11      1.02      0.00      1.02      0.00      0.00     97.96
01:27:35 PM      12      1.02      0.00      0.00      1.02      0.00     97.96
01:27:35 PM      13      0.99      0.00      1.98      0.00      0.00     97.03
01:27:35 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
