Linux 3.10.0-229.el7.x86_64 (rhel7-23.in.ibm.com) 	11/17/2015 	_x86_64_	(24 CPU)

01:26:58 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:26:59 PM     all      0.17      0.00      0.25      0.00      0.00     99.58
01:26:59 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
01:26:59 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
01:26:59 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:26:59 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:26:59 PM       4      1.00      0.00      0.00      0.00      0.00     99.00
01:26:59 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:26:59 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
01:26:59 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
01:26:59 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
01:26:59 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
01:26:59 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
01:26:59 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
01:26:59 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
01:26:59 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
01:26:59 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
01:26:59 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:26:59 PM      16      2.00      0.00      4.00      0.00      0.00     94.00
01:26:59 PM      17      0.00      0.00      0.99      0.00      0.00     99.01
01:26:59 PM      18      0.99      0.00      0.00      0.00      0.00     99.01
01:26:59 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
01:26:59 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
01:26:59 PM      21      0.00      0.00      0.99      0.00      0.00     99.01
01:26:59 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:26:59 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

01:26:59 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:27:00 PM     all      0.33      0.00      0.25      0.00      0.00     99.42
01:27:00 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
01:27:00 PM       1      1.00      0.00      0.00      0.00      0.00     99.00
01:27:00 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:27:00 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:27:00 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
01:27:00 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:27:00 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
01:27:00 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
01:27:00 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
01:27:00 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
01:27:00 PM      10      1.00      0.00      1.00      0.00      0.00     98.00
01:27:00 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
01:27:00 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
01:27:00 PM      13      0.00      0.00      1.00      0.00      0.00     99.00
01:27:00 PM      14      4.95      0.00      0.99      0.00      0.00     94.06
01:27:00 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:27:00 PM      16      1.98      0.00      1.98      0.00      0.00     96.04
01:27:00 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
01:27:00 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
01:27:00 PM      19      0.00      0.00      1.00      0.00      0.00     99.00
01:27:00 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
01:27:00 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
01:27:00 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:27:00 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

01:27:00 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:27:01 PM     all      0.08      0.00      0.08      0.00      0.00     99.83
01:27:01 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
01:27:01 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
01:27:01 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:27:01 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:27:01 PM       4      0.99      0.00      0.99      0.00      0.00     98.02
01:27:01 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:27:01 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
01:27:01 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
01:27:01 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
01:27:01 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
01:27:01 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
01:27:01 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
01:27:01 PM      12      0.00      0.00      1.00      0.00      0.00     99.00
01:27:01 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
01:27:01 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
01:27:01 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:27:01 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
01:27:01 PM      17      0.99      0.00      0.00      0.00      0.00     99.01
01:27:01 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
01:27:01 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
01:27:01 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
01:27:01 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
01:27:01 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:27:01 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

01:27:01 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:27:02 PM     all      0.25      0.00      0.17      0.00      0.00     99.58
01:27:02 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
01:27:02 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
01:27:02 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:27:02 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:27:02 PM       4      1.01      0.00      1.01      0.00      0.00     97.98
01:27:02 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:27:02 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
01:27:02 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
01:27:02 PM       8      0.99      0.00      0.00      0.00      0.00     99.01
01:27:02 PM       9      0.99      0.00      0.00      0.00      0.00     99.01
01:27:02 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
01:27:02 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
01:27:02 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
01:27:02 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
01:27:02 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
01:27:02 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:27:02 PM      16      0.00      0.00      1.00      0.00      0.00     99.00
01:27:02 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
01:27:02 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
01:27:02 PM      19      3.96      0.00      0.99      0.00      0.00     95.05
01:27:02 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
01:27:02 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
01:27:02 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:27:02 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

01:27:02 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:27:03 PM     all      0.08      0.00      0.08      0.00      0.00     99.83
01:27:03 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
01:27:03 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
01:27:03 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:27:03 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:27:03 PM       4      0.00      0.00      0.99      0.00      0.00     99.01
01:27:03 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:27:03 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
01:27:03 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
01:27:03 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
01:27:03 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
01:27:03 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
01:27:03 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
01:27:03 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
01:27:03 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
01:27:03 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
01:27:03 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:27:03 PM      16      1.00      0.00      1.00      0.00      0.00     98.00
01:27:03 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
01:27:03 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
01:27:03 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
01:27:03 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
01:27:03 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
01:27:03 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:27:03 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

01:27:03 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:27:04 PM     all      0.29      0.00      0.21      0.00      0.00     99.50
01:27:04 PM       0      0.99      0.00      0.00      0.00      0.00     99.01
01:27:04 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
01:27:04 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:27:04 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:27:04 PM       4      1.01      0.00      1.01      0.00      0.00     97.98
01:27:04 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:27:04 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
01:27:04 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
01:27:04 PM       8      0.00      0.00      0.99      0.00      0.00     99.01
01:27:04 PM       9      1.00      0.00      0.00      0.00      0.00     99.00
01:27:04 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
01:27:04 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
01:27:04 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
01:27:04 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
01:27:04 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
01:27:04 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:27:04 PM      16      1.00      0.00      0.00      0.00      0.00     99.00
01:27:04 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
01:27:04 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
01:27:04 PM      19      3.03      0.00      1.01      0.00      0.00     95.96
01:27:04 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
01:27:04 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
01:27:04 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:27:04 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

01:27:04 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:27:05 PM     all      0.13      0.00      0.08      0.00      0.00     99.79
01:27:05 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM       3      1.00      0.00      0.00      0.00      0.00     99.00
01:27:05 PM       4      0.99      0.00      0.99      0.00      0.00     98.02
01:27:05 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM      13      0.00      0.00      1.00      0.00      0.00     99.00
01:27:05 PM      14      0.00      0.00      0.99      0.00      0.00     99.01
01:27:05 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM      16      1.00      0.00      1.00      0.00      0.00     98.00
01:27:05 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM      20      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:27:05 PM      23      0.00      0.00      0.00      0.00      0.00    100.00

01:27:05 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:27:06 PM     all      0.42      0.00      0.25      0.00      0.00     99.33
01:27:06 PM       0      0.99      0.00      0.00      0.00      0.00     99.01
01:27:06 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM       4      1.00      0.00      1.00      0.00      0.00     98.00
01:27:06 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM       9      0.00      0.00      1.00      0.00      0.00     99.00
01:27:06 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM      13      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM      16      0.00      0.00      1.00      0.00      0.00     99.00
01:27:06 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
01:27:06 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
